participant,conflict_name,years,participant_correction,participant_new
Charles of Anjou,Expedition of Charles of Anjou into Italy (France),1268-1268,,Charles of Anjou
China,War with China (England),1840-1842,,China
China,War with China on the Amur River (Russia),1689-1689,,China
China,War with China (England),1856-1860,,China
China,War with China (France),1862-1864,,China
China,War with China (France),1884-1885,,China
Cochin-Chinese,Cochin-Chinese War (France,1861-1862,,Cochin-Chinese
Comuneros,"Insurrection of ""Comuneros"" of Castile and ""Germanias"" in Barcelona (Spain)",1520-1522,,Comuneros
Cossacks,War with Cossacks of Ostraniitza (Poland-Lithuania),1638-1638,,Cossacks
Cossacks,War with Cossacks of Khemelnitzy and Crimea (Poland-Lithuania),1647-1649,,Cossacks
Cossacks,War with Cossacks of Taras (Poland-Lithuania),1628-1628,,Cossacks
Cossacks,War with Cossacks of Khemelnitzy and Crimea (Poland-Lithuania),1651-1654,,Cossacks
Cossacks,War with Cossacks of Nalivaiko (Poland-Lithuania),1596-1596,,Cossacks
Cossacks,War with Cossacks of Pavluk (Poland-Lithuania),1637-1637,,Cossacks
Crimea,War with Turkey and Crimea (Poland-Lithuania),1619-1621,,Crimea
Crimea,War with Crimea (Poland-Lithuania),1605-1605,,Crimea
Crimea,War with Crimea (Poland-Lithuania),1576-1576,,Crimea
Crimea,War with Crimea (Poland-Lithuania),1626-1628,,Crimea
Crimea,War with Crimea (Poland-Lithuania),1575-1575,,Crimea
Crimean Tartars,Invasion of Crimean Tartars (Russia),1591-1591,,Crimean Tartars
Denmark,War with Denmark (Austria-Hungary),1864-1864,,Denmark
Denmark,War with Denmark (Germany),1864-1864,,Denmark
Denmark,War with Denmark (Germany),1848-1849,,Denmark
Denmark,War with Denmark (England),1801-1801,,Denmark
Egypt,War with Egypt (Austria-Hungary),1840-1840,,Egypt
England,War with Wales (England),1224-1224,,England
England,War with England (Spain),1803-1808,,England
England,War with Wales (England),1219-1223,,England
England,War with France (England),1216-1217,,England
England,War with France (England),1215-1216,,England
England,War with France (England),1213-1214,,England
England,War with France (England),1202-1204,,England
England,War with France (England),1194-1200,,England
England,"War with France, Hundred Year's War (England)",1411-1420,,England
England,War with Ireland (England),1169-1172,,England
England,War with Scotland (England),1402-1403,,England
England,Continuation of Hundred Years' War (England),1421-1425,,England
England,Continuation of Hundred Years' War (England),1426-1439,,England
England,War with Scotland (England),1136-1138,,England
England,War with France (England),1126-1128,,England
England,War with France (England),1106-1125,,England
England,War with France (England),1068-1068,,England
England,Conquest by Normans (England),1066-1066,,England
England,Hundred Years' War with France (England),1339-1347,,England
England,Continuation of Hundred Years' War (England),1440-1444,,England
England,Continuation of Hundred Years' War (England),1449-1450,,England
England,War with France (England),1188-1189,,England
England,War with France (England),1223-1225,,England
England,War with Netherlands (England),1780-1784,,England
England,War with England (Spain),1795-1801,,England
England,War with France (England),1326-1327,,England
England,War with France (England),1324-1325,,England
England,Hundred Years' War with France (England),1354-1360,,England
England,Hundred Years' War with France (England),1368-1375,,England
England,War with Wales (England),1294-1295,,England
England,Intervention in Castile against France (England),1366-1369,,England
England,War with Wales (England),1282-1288,,England
England,Subjugation of Scotland (England),1296-1296,,England
England,Hundred Years' War with France (& Scotland) (England),1376-1389,,England
England,War with France (England),1294-1298,,England
England,War with Wales (England),1276-1277,,England
England,War with Ireland (England),1394-1394,,England
England,War of Edward I with Wales (England),1272-1275,,England
England,War with France (England),1259-1259,,England
England,War with Ireland (England),1399-1399,,England
England,War with Wales (England),1272-1275,,England
England,War with England (mostly in America) (Spain),1779-1783,,England
England,War with Wales (England),1257-1257,,England
England,War with France (England),1245-1245,,England
England,War with France (England),1242-1243,,England
England,War with Wales (England),1241-1241,,England
England,War with Wales (England),1233-1234,,England
England,Continuation of Hundred Years' War (England),1451-1453,,England
England,War with Wales (England),1228-1231,,England
England,War with France (England),1475-1475,,England
England,War with Scotland (England),1482-1484,,England
England,War with Scotland (England),1480-1480,,England
England,Mutiny of the Sepoys in India (England),1857-1858,,England
England,Uprising of Ireland (England),1651-1652,,England
England,War with Netherlands (England),1652-1655,,England
England,War with England (Holland),1780-1784,,England
England,War with China (England),1856-1860,,England
England,War with Spain (England),1655-1659,,England
England,War with Netherlands (England),1665-1667,,England
England,War with Persia (England),1856-1857,,England
England,War with Russia  (England),1854-1856,,England
England,War with England (Holland),1652-1655,,England
England,War with England (Spain),1601-1605,,England
England,War with China (England),1840-1842,,England
England,War with Netherlands (England),1672-1674,,England
England,War with Turkey (England),1827-1827,,England
England,Third War with Louis XIV (England),1688-1697,,England
England,War with United States of America (England),1812-1815,,England
England,War with Denmark (England),1801-1801,,England
England,War with England (Holland),1665-1667,,England
England,Revolutionary War with France (England),1801-1802,,England
England,War with England (Armada) (Spain),1585-1600,,England
England,Naval War with Sweden (England),1715-1719,,England
England,War with England (Holland),1672-1674,,England
England,War with Afghanistan (England),1838-1842,,England
England,War with France (England),1489-1492,,England
England,Uprising of Ireland (England),1649-1650,,England
England,War with Spain  (England),1625-1630,,England
England,Revolutionary War with France (England),1793-1800,,England
England,War with France (England),1512-1514,,England
England,War with France (England),1521-1525,,England
England,War with Scotland (England),1513-1515,,England
England,War with Scotland (England),1522-1523,,England
England,War with Scotland (England),1532-1534,,England
England,War with Scotland (England),1542-1546,,England
England,Ashanti War (England),1895-1896,,England
England,War with Scotland (England),1547-1548,,England
England,Zulu War (England),1879-1879,,England
England,Uprising of Ireland (England),1641-1643,,England
England,War with Scotland (England),1548-1550,,England
England,War with France (England),1548-1550,,England
England,War with Afghanistan (England),1878-1880,,England
England,War with Ireland (England),1534-1535,,England
England,Ashanti War (England),1874-1874,,England
England,War with France (England),1557-1559,,England
England,Maori War (England),1863-1869,,England
England,War with Scotland and France (England),1559-1560,,England
England,War with France (England),1562-1564,,England
England,Ashanti War (England),1863-1864,,England
England,War with Spain (Great Armada) (England),1585-1604,,England
England,War with France (England),1544-1546,,England
England,War with France (England),1803-1814,,England
England,War with Scotland (England),1326-1328,,England
England,Armed Conflicts with England (France),1169-1169,,England
England,Intervention in Castile against England on the side of Henri de Trastamare (France),1366-1369,,England
England,War with England (France),1666-1667,,England
England,War with England (France),1544-1546,,England
England,War with England and Flanders (France),1294-1298,,England
England,War with England (France),1368-1375,,England
England,War with England (France),1376-1389,,England
England,War with England (France),1245-1245,,England
England,War with England (France),1226-1226,,England
England,War with England (France),1627-1629,,England
England,War with England in Bretagne (France),1489-1492,,England
England,War with England (France),1259-1259,,England
England,War with England (France),1126-1128,,England
England,War with England (France),1475-1475,,England
England,War with England (France),1411-1420,,England
England,War with England (France),1194-1200,,England
England,The End of the Hundred Years' War (France),1451-1453,,England
England,War with England (France),1421-1422,,England
England,War with England (France),1242-1243,,England
England,War with England (France),1423-1425,,England
England,War with England (France),1449-1450,,England
England,Armed Conflicts with England (France),1174-1174,,England
England,War with England (France),1426-1439,,England
England,War with England (France),1188-1189,,England
England,War with England (France),1562-1564,,England
England,War with England (France),1324-1325,,England
England,War with England (France),1440-1444,,England
England,War with England (France),1106-1125,,England
England,War with England (France),1559-1560,,England
England,War with England (France),1202-1204,,England
England,War with England (France),1326-1327,,England
England,Hundred Years War with England (France),1339-1347,,England
England,War with England (France),1216-1217,,England
England,War with England (France),1215-1216,,England
England,War with England (France),1557-1559,,England
England,War with England (France),1213-1214,,England
England,War with England (France),1354-1360,,England
England,War with England (France),1223-1225,,England
England,War with England (in Bretagne) (France),1363-1364,,England
England,War with England (France),1098-1098,,England
England,War with England (France),1548-1550,,England
Flanders,War with Flanders (France),1315-1315,,Flanders
Flanders,War with Flanders (France),1253-1255,,Flanders
Flanders,War with Flanders (France),1328-1328,,Flanders
Flanders,War with Flanders (France),1301-1305,,Flanders
Flanders,War with Flanders (France),1314-1314,,Flanders
Flanders,War with Flanders (France),1382-1382,,Flanders
Flanders,War with England and Flanders (France),1294-1298,,Flanders
Flanders,War of Philip I in Flanders (France),1071-1071,,Flanders
France,War with England (France),1440-1444,,France
France,War with France (England),1202-1204,,France
France,Third War with Louis XIV (Holland),1688-1697,,France
France,War with France (England),1126-1128,,France
France,War with England (France),1449-1450,,France
France,War with England (France),1242-1243,,France
France,War with France (fourth war of Charles V) (Spain),1542-1544,,France
France,War with France (England),1106-1125,,France
France,Second War with Louis XIV (Holland),1673-1679,,France
France,War with France (England),1068-1068,,France
France,War with France (Spain),1823-1823,,France
France,Continuation of Hundred Years' War (England),1426-1439,,France
France,War with England (France),1544-1546,,France
France,War with France (third war of Charles V) (Spain),1536-1538,,France
France,War with England (France),1548-1550,,France
France,Franco-Prussian War (Germany),1870-1871,,France
France,War with France (England),1188-1189,,France
France,War with England in Bretagne (France),1489-1492,,France
France,War with England (France),1223-1225,,France
France,"War with France, Hundred Year's War (England)",1411-1420,,France
France,First Coalitional War (Holland),1792-1795,,France
France,War with England (France),1475-1475,,France
France,War with France (England),1194-1200,,France
France,The End of the Hundred Years' War (France),1451-1453,,France
France,War with England (France),1557-1559,,France
France,Continuation of Hundred Years' War (England),1421-1425,,France
France,War with England (France),1226-1226,,France
France,War with France (Spain),1808-1814,,France
France,War with England (France),1216-1217,,France
France,War of Charles V with France (Spain),1552-1556,,France
France,War with England (France),1376-1389,,France
France,Third War with Louis XIV (England),1688-1697,,France
France,War with England (France),1368-1375,,France
France,War with France (England),1521-1525,,France
France,Intervention in Castile against England on the side of Henri de Trastamare (France),1366-1369,,France
France,War with England and Flanders (France),1294-1298,,France
France,War with England (France),1324-1325,,France
France,War with England (in Bretagne) (France),1363-1364,,France
France,War with Flanders (France),1301-1305,,France
France,War with Aragon (France),1284-1291,,France
France,War with England (France),1354-1360,,France
France,Russia v France (Russia),1806-1807,,France
France,War with France (England),1544-1546,,France
France,War with Flanders (France),1328-1328,,France
France,War with France (England),1548-1550,,France
France,War with England (France),1326-1327,,France
France,War with Flanders (France),1314-1314,,France
France,War with France (England),1562-1564,,France
France,Insurrection of the Pastoureaux du Midi (France),1326-1326,,France
France,War with Scotland and France (England),1559-1560,,France
France,Hundred Years War with England (France),1339-1347,,France
France,War with England (France),1426-1439,,France
France,War with France (England),1512-1514,,France
France,War with England (France),1259-1259,,France
France,War with England (France),1245-1245,,France
France,war with France (Spain),1556-1559,,France
France,Continuation of Hundred Years' War (England),1440-1444,,France
France,War with England (France),1423-1425,,France
France,Second War of Louis XIV (Austria-Hungary),1676-1679,,France
France,Continuation of Hundred Years' War (England),1449-1450,,France
France,War with England (France),1421-1422,,France
France,War with France (England),1213-1214,,France
France,War with France (England),1803-1814,,France
France,War with Castile (France),1285-1285,,France
France,Continuation of Hundred Years' War (England),1451-1453,,France
France,Revolutionary War with France (England),1801-1802,,France
France,First Coalitional War (Germany),1792-1795,,France
France,War with England (France),1411-1420,,France
France,War with Flanders (France),1253-1255,,France
France,War with France (England),1475-1475,,France
France,Revolutionary War with France (England),1793-1800,,France
France,"Expedition against the Turks, into Hungary (France)",1396-1396,,France
France,War with Flanders (France),1382-1382,,France
France,War with France (England),1489-1492,,France
France,War with France (Spain),1648-1659,,France
France,War with Flanders (France),1315-1315,,France
France,War with France (England),1557-1559,,France
France,War with France (England),1215-1216,,France
France,War in Mexico (France),1861-1867,,France
France,War with England (France),1627-1629,,France
France,War with France (Austria-Hungary),1552-1556,,France
France,Franco-Prussian War (France),1870-1871,,France
France,Third War of Louis XIV (Italy),1690-1696,,France
France,War with Tonkin (France),1883-1885,,France
France,War with China (France),1884-1885,,France
France,War with Spain (France),1635-1650,,France
France,War with France (England),1294-1298,,France
France,War with Tonkin (France),1894-1894,,France
France,Hundred Years' War with France (& Scotland) (England),1376-1389,,France
France,War with England (France),1126-1128,,France
France,One Hundred Days War (Germany),1815-1815,,France
France,Insurrection of the Huguenot (France),1626-1626,,France
France,Third War of Louis XIV (Germany),1689-1697,,France
France,War with France (fourth war of Charles V) (Austria-Hungary),1542-1544,,France
France,Insurrection of the Huguenot (France),1621-1622,,France
France,War with France (England),1259-1259,,France
France,War with France (third war of Charles V) (Austria-Hungary),1536-1538,,France
France,War with France (second war of Charles V) (Austria-Hungary),1527-1529,,France
France,War with Savoy (France),1601-1601,,France
France,Eighth War of the Huguenot (France),1585-1598,,France
France,Armed Conflicts with England (France),1169-1169,,France
France,War with England (France),1106-1125,,France
France,Armed Conflicts with England (France),1174-1174,,France
France,Cochin-Chinese War (France,1861-1862,,France
France,War with Annam (France),1857-1862,,France
France,Hundred Years' War with France (England),1339-1347,,France
France,Second War of Louis XIV (Austria-Hungary),1673-1675,,France
France,Third War of Louis XIV (Austria-Hungary),1688-1697,,France
France,War with France (England),1326-1327,,France
France,War with France (England),1324-1325,,France
France,Third War of Louis XIV (Spain),1688-197,,France
France,War of Philip I in Flanders (France),1071-1071,,France
France,War with Turkey (Navarin) (France),1827-1827,,France
France,War with Holland  (France),1832-1832,,France
France,War with France (Italy),1601-1601,,France
France,War with Portugal  (France),1834-1834,,France
France,Hundred Years' War with France (England),1354-1360,,France
France,"War with Spain, on the side of France (Thirty Years' War) (Italy)",1635-1659,,France
France,War with Turkey (France),1664-1670,,France
France,Hundred Years' War with France (England),1368-1375,,France
France,War with England (France),1098-1098,,France
France,War with France (Italy),1600-1600,,France
France,War with France (Germany),1806-1807,,France
France,Austro-Italian War (France),1859-1859,,France
France,War with England (France),1666-1667,,France
France,Intervention in Castile against France (England),1366-1369,,France
France,War with China (France),1862-1864,,France
France,War with Spain (France),1651-1659,,France
France,War with France (Italy),1589-1589,,France
France,War with Savoy (France),1600-1600,,France
France,War with France and Venice (First War of Charles V) (Austria-Hungary),1521-1525,,France
France,Seventh War of the Huguenot (France),1580-1580,,France
France,War with France (England),1223-1225,,France
France,War with France (England),1245-1245,,France
France,War with France (Austria-Hungary),1214-1214,,France
France,War with England (France),1188-1189,,France
France,War with England (France),1562-1564,,France
France,War with France (England),1242-1243,,France
France,War with France (Austria-Hungary),1515-1515,,France
France,Second War of Louis XIV (Germany),1672-1679,,France
France,War with England (France),1194-1200,,France
France,War with Spain (France),1556-1559,,France
France,First War of the Huguenot (France),1562-1563,,France
France,Third War of the Huguenot (France),1568-1570,,France
France,Second War of the Huguenot (France),1567-1568,,France
France,Second War of Louis XIV (Spain),1672-1678,,France
France,War with France (Austria-Hungary),1809-1809,,France
France,War with England (France),1202-1204,,France
France,Fourth War of the Huguenot (France),1572-1573,,France
France,Fifth War of the Huguenot (France),1575-1575,,France
France,War with England (France),1213-1214,,France
France,war with France (Spain),1502-1504,,France
France,War with France (Holy League) (Spain),1511-1513,,France
France,War with France (Austria-Hungary),1495-1497,,France
France,War with England (France),1559-1560,,France
France,war with France (Spain),1515-1515,,France
France,War with France (Holy League) (Spain),1495-1497,,France
France,Sixth War of the Huguenot (France),1577-1577,,France
France,War with England (France),1215-1216,,France
France,War with France (England),1216-1217,,France
France,War with France (Austria-Hungary),1512-1514,,France
France. Spain,"War with France, the Pope and Venice (Spain)",1521-1525,,France. Spain
Geneva,War with Geneva (Italy),1580-1600,,Geneva
Geneva,War with Geneva (Italy),1601-1603,,Geneva
Germanias,"Insurrection of ""Comuneros"" of Castile and ""Germanias"" in Barcelona (Spain)",1520-1522,,Germanias
Germany,War with Denmark (Germany),1848-1849,,Germany
Germany,War with France (Germany),1806-1807,,Germany
Germany,Second War of Louis XIV (Germany),1672-1679,,Germany
Germany,First Coalitional War (Germany),1792-1795,,Germany
Germany,Third War of Louis XIV (Germany),1689-1697,,Germany
Germany,War with Denmark (Germany),1864-1864,,Germany
Germany,War with Poland (Germany),1656-1657,,Germany
Germany,One Hundred Days War (Germany),1815-1815,,Germany
Greeks,Turkish-Greek-Hungarian Wars (Austria-Hungary),1444-1444,,Greeks
Holland,War of the Spanish Succession (Holland),1701-1713,,Holland
Holland,War with Belgium (Holland),1830-1833,,Holland
Holland,First Coalitional War (Holland),1792-1795,,Holland
Holland,War with England (Holland),1672-1674,,Holland
Holland,Second War with Louis XIV (Holland),1673-1679,,Holland
Holland,War with Portugal (Holland),1663-1669,,Holland
Holland,War with Portugal (Holland),1648-1661,,Holland
Holland,War with Sweden (Holland),1657-1660,,Holland
Holland,War with England (Holland),1780-1784,,Holland
Holland,War with England (Holland),1652-1655,,Holland
Holland,War with Holland (Scheldt) (Austria-Hungary),1784-1785,,Holland
Holland,War with England (Holland),1665-1667,,Holland
Holland,Third War with Louis XIV (Holland),1688-1697,,Holland
Holland,War with Holland  (France),1832-1832,,Holland
Huguenots,Eighth War of the Huguenot (France),1585-1598,,Huguenots
Huguenots,Seventh War of the Huguenot (France),1580-1580,,Huguenots
Huguenots,Sixth War of the Huguenot (France),1577-1577,,Huguenots
Huguenots,Insurrection of the Huguenot (France),1621-1622,,Huguenots
Huguenots,Third War of the Huguenot (France),1568-1570,,Huguenots
Huguenots,Insurrection of the Huguenot (France),1626-1626,,Huguenots
Huguenots,Fifth War of the Huguenot (France),1575-1575,,Huguenots
Huguenots,Fourth War of the Huguenot (France),1572-1573,,Huguenots
Huguenots,First War of the Huguenot (France),1562-1563,,Huguenots
Huguenots,Second War of the Huguenot (France),1567-1568,,Huguenots
Hungarians,Turkish-Hungarian War (Austria-Hungary),1490-1495,,Hungarians
Hungarians,Turkish-Hungarian War (Austria-Hungary),1448-1448,,Hungarians
Hungarians,Turkish-Greek-Hungarian Wars (Austria-Hungary),1444-1444,,Hungarians
Hungarians,Turkish-Hungarian War (Austria-Hungary),1482-1483,,Hungarians
Hungarians,Hungarian-Turkish War (Austria-Hungary),1396-1396,,Hungarians
Hungary,"""Kuruzen"" War (Austria-Hungary)",1676-1682,,Hungary
Hungary,"""Kuruzen"" War (Austria-Hungary)",1672-1675,,Hungary
Hungary,Insurrection of Hungarian Mangates (Austria-Hungary),1670-1670,,Hungary
Hungary,War with Turkey and Hungary (Austria-Hungary),1521-1525,,Hungary
Hungary,War with Turkey and Hungary (Austria-Hungary),1526-1532,,Hungary
Hungary,War with Turkey and Hungary (Austria-Hungary),1532-1534,,Hungary
Indian Sepoys,Mutiny of the Sepoys in India (England),1857-1858,,Indian Sepoys
Ireland,War with Ireland (England),1534-1535,,Ireland
Ireland,War with Ireland (England),1169-1172,,Ireland
Ireland,War with Ireland (England),1399-1399,,Ireland
Ireland,Uprising of Ireland (England),1641-1643,,Ireland
Ireland,Uprising of Ireland (England),1649-1650,,Ireland
Ireland,Uprising of Ireland (England),1651-1652,,Ireland
Ireland,War with Ireland (England),1394-1394,,Ireland
Italian insurgents,Insurrection in Italy (Austria-Hungary),1821-1821,,Italian insurgents
Italy,"War with Spain, on the side of France (Thirty Years' War) (Italy)",1635-1659,,Italy
Italy,Italo-Turkish War,1911-1912,,Italy
Italy,War with Abyssinia (Italy),1895-1896,,Italy
Italy,War with Austria-Hungary (Italy),1866-1866,,Italy
Italy,War with Austria-Hungary (Italy),1859-1859,,Italy
Italy,War with Spain (Italy),1613-1617,,Italy
Italy,Austro-Italian War (France),1859-1859,,Italy
Italy,War with France (Italy),1601-1601,,Italy
Italy,War with Spain (Italy),1626-1626,,Italy
Italy,War with Russia (Italy),1855-1856,,Italy
Italy,War with Turkey (Italy),1570-1573,,Italy
Italy,Third War of Louis XIV (Italy),1690-1696,,Italy
Italy,War with Geneva (Italy),1580-1600,,Italy
Italy,Austrian-Sardinian War (Italy),1696-1697,,Italy
Italy,Expedition of Charles of Anjou into Italy (France),1268-1268,,Italy
Italy,War with France (Italy),1589-1589,,Italy
Italy,War with France (Italy),1600-1600,,Italy
Italy,Austrian-Sardinian War (Italy),1701-1703,,Italy
Italy,War with Geneva (Italy),1601-1603,,Italy
Kazan,War of Vassillii III with Kazan (Russia),1530-1530,,Kazan
Kazan,War of Ivan IV with Kazan (Russia),1551-1552,,Kazan
Kazan,War of Vassilii III with Kazan (Russia),1523-1524,,Kazan
Kazan,War of Vassilii III with Kazan (Russia),1506-1507,,Kazan
Kazan,War of Ivan IV with Kazan (Russia),1550-1550,,Kazan
Lithuania,Russo-Lithuanian War (Russia),1132-1132,,Lithuania
Lithuania,Russian-Lithuanian War (Poland-Lithuania),1534-1537,,Lithuania
Lithuania,Russo-Lithuanian War (Russia),1320-1321,,Lithuania
Lithuania,Russo-Lithuanian War (Russia),1285-1286,,Lithuania
Lithuania,Russo-Lithuanian War (Russia),1276-1277,,Lithuania
Lithuania,Russo-Lithuanian War (Russia),1274-1274,,Lithuania
Lithuania,Russo-Lithuanian War (Russia),1263-1263,,Lithuania
Lithuania,Russo-Lithuanian War (Russia),1251-1252,,Lithuania
Lithuania,Russo-Lithuanian War (Russia),1210-1225,,Lithuania
Lithuania,Russo-Lithuanian War (Russia),1226-1234,,Lithuania
Lithuania,Russian-Lithuanian War (Poland-Lithuania),1445-1445,,Lithuania
Lithuania,Russo-Lithuanian War (Russia),1038-1044,,Lithuania
Lithuania,Russian-Lithuanian War (Poland-Lithuania),1401-1408,,Lithuania
Lithuania,Russian-Lithuanian War (Poland-Lithuania),1395-1396,,Lithuania
Lithuania,The Templars with Poland and Lithuania (Austria-Hungary),1410-1410,,Lithuania
Lithuania,Russo-Lithuanian War (Russia),1245-1247,,Lithuania
Lithuania,Russian-Lithuanian War (Poland-Lithuania),1426-1468,,Lithuania
Lithuania,Russo-Lithuanian War (Russia),1346-1346,,Lithuania
Lithuania,Lithuanian War of Vassillii III (Russia),1507-1508,,Lithuania
Lithuania,War of Ivan III with Lithuania and Livonian Order (Russia),1482-1500,,Lithuania
Lithuania,Lithuanian War of Vassillii III (Russia),1512-1522,,Lithuania
Lithuania,Russo-Lithuanian War (Russia),1445-1445,,Lithuania
Lithuania,Russo-Lithuanian War (Russia),1534-1537,,Lithuania
Lithuania,War of Ivan III with Lithuania and Livonian Order (Russia),1501-1503,,Lithuania
Lithuania,Russo-Lithuanian War with Vitoft (Russia),1401-1408,,Lithuania
Lithuania,Russo-Lithuanian War (Russia),1355-1359,,Lithuania
Lithuania,Russo-Lithuanian War (Russia),1426-1428,,Lithuania
