participant,conflict_name,years,participant_correction,participant_new
Russia,Russian conquest of Circassia,1859-1864,,Russia
Russia,Russian - Swedish War,1741-1743,,Russia
Russia,December uprising in Russia,1825-1825,,Russia
Russia,Russian-Persian War,1825-1828,,Russia
Russia,Russo-Japanese war,1904-1905,,Russia
Russia,Russo-Polish War,1919-1920,,Russia
Russia,"Greek war of independence, Russian-Turkish war",1821-1829,,Russia
Russia,"War of the French Revolution & the Consulat vs Second Coalition (England, Turkey, Austria, Russia, Two-Sicilies)",1797-1802,,Russia
Russia,"Austria-Hungary Revolution of 1848, Russia intervention",1848-1849,,Russia
Russia,Russian-Turkish and Crimean War,1853-1856,,Russia
Russia & others (not named), Napoleonic War vs England & the Third Coalition,1803-1805,,Russia & others (not named)
Russian revolutionaries,Revolutionary troubles in Russia,1904-1906,,Russian revolutionaries
Russian revolutionaries,"Russian Revolution, Civil War, independence of Finland and the Baltics",1917-1922,,Russian revolutionaries
Rwandan Tutsis,Massacres of Tutsis in Rwanda,1956-1965,,Rwandan Tutsis
Samory,Conquest of Niger (vs Ahmadou and Samory),1879-1898,,Samory
Santo Domingo,War of Independence of Santo Domingo (Haiti),1802-1804,,Santo Domingo
Satzuma (Japan),Uprising in Japan (Satzuma),1876-1877,,Satzuma (Japan)
Schleswig-Holstein,"Troubles of Schleswig-Holstein, war between Denmark and Prussia",1848-1848,,Schleswig-Holstein
Senegal,Conquest of Senegal,1854-1885,,Senegal
Serbia,Serbo-Bulgarian war (Rumelia),1885-1886,,Serbia
Sikhs,"English conquest of India, Third Phase: Sikhs, Punjab",1819-1849,,Sikhs
Somali insurgents,Rebellion in British Somalia,1899-1904,,Somali insurgents
Spain,Renewal of the Carlist War (Spain),1872-1876,,Spain
Spain,Chile struggle for independence,1810-1818,,Spain
Spain,Paraguay struggle for independence,1810-1811,,Spain
Spain,Argentina struggle for independence,1810-1816,,Spain
Spain,Uprising in Cuba (Spain),1868-1878,,Spain
Spain,Mexico struggle for independence,1810-1821,,Spain
Spain,Bolivia struggle for independence,1810-1825,,Spain
Spain,Peru struggle for independence,1810-1826,,Spain
Spain,"Great Colombia (Venezuela, Colombia, Ecuador) struggle for independence",1810-1822,,Spain
Spain,Spanish Moroccan War,1909-1910,,Spain
Spain, Napoleonic War of Spain and vs Sixth Coalition,1809-1814,,Spain
Spain, Napoleonic War of Spain and Portugal vs the Fifth Coalition,1807-1809,,Spain
Spain,"Uprising of the Philippines, first vs Spain, then vs US",1896-1902,,Spain
Spain,War of Spain vs Peru and Chile,1864-1866,,Spain
Spain,Uruguay struggle for independence & First war of La Plata,1810-1828,,Spain
Spain,Spanish-Moroccan War,1859-1860,,Spain
Spanish Revolutionaries,"Revolution in Spain, intervention by France",1820-1823,,Spanish Revolutionaries
Sudan,Conquest of the Sudan & the Kordofan by Mohammed Ali,1820-1821,,Sudan
Sultanate of Atjeh (Sumatra),"Occupation of the Sultanate of Atjeh, Sumatra by the Dutch",1873-not provided,,Sultanate of Atjeh (Sumatra)
Sweden,Russian - Swedish War,1741-1743,,Sweden
Syria,Syria civil war (Ottoman Empire),1845-1845,,Syria
Syria,French Syria campaign,1920-1920,,Syria
Szechwan insurgents,"Second Revolt in Szechwan, China",1771-1776,,Szechwan insurgents
Taiping (China),Revolt of the Taiping (China),1851-1864,,Taiping (China)
Tasmania,Massacres in Tasmania,1825-1830,,Tasmania
Texas,Struggle for independence of Texas vs Mexico,1836-1836,,Texas
Tibet,Chinese occupation of Tibet,1950-1951,,Tibet
Tibet,"Revolt of Tibet vs China, and independence",1912-1913,,Tibet
Tibet,Tibet-China struggle,1918-1918,,Tibet
Tibet,English expedition to Tibet,1904-1904,,Tibet
Tibetan insurgents,Revolt in Chinese occupied Tibet ,1955-1959,,Tibetan insurgents
Tunisia,Occupation of Tunisia,1881-1882,,Tunisia
Tunisia,"French-Tunisian crisis, clashes of Bizerta",1961-1961,,Tunisia
Tunisian independence proponents,Tunisian struggle for independence,1952-1956,,Tunisian independence proponents
Turkey,"War of the French Revolution & the Consulat vs Second Coalition (England, Turkey, Austria, Russia, Two-Sicilies)",1797-1802,,Turkey
Turkey,Montenegro struggle for independence against Turkey,1852-1859,,Turkey
Turkey,Russian-Turkish and Crimean War,1853-1856,,Turkey
Turkey,Armenian massacres (Turkey),1915-1918,,Turkey
Turkey,Second Turkish-Egyptian War (Mohammed Ali) with English intervention,1839-1841,,Turkey
Turkey,"Greek war of independence, Russian-Turkish war",1821-1829,,Turkey
Turkey,"Troubles in Crete, Greco-Turkish War",1897-1897,,Turkey
Turkey,First Turkish-Egyptian War (Mohammed Ali),1831-1833,,Turkey
Turkey,"Greco-Turkish war, massacres in Anatolia",1920-1922,,Turkey
Turkey,Italian-Turkish war,1911-1912,,Turkey
Two-Sicilies,"War of the French Revolution & the Consulat vs Second Coalition (England, Turkey, Austria, Russia, Two-Sicilies)",1797-1802,,Two-Sicilies
Two-Sicilies,"Revolution in the Two-Sicilies, intervention by Austria",1820-1821,,Two-Sicilies
Uganda,Occupation of Uganda by England,1894-1901,,Uganda
Unclear from source alone,"Revolt of Shantung, China",1774-1774,,Unclear from source alone
unclear from source alone,Troubles in Chad (Tibesti),1970-not provided,,unclear from source alone
Unclear from source alone,"War of the Vendée, France",1793-1796,,Unclear from source alone
unclear from source alone,Algerian war,1954-1962,,unclear from source alone
unclear from source alone,Troubles in Egypt,1952-1952,,unclear from source alone
unclear from source alone,Civil war in the Sudan,1955-1972,,unclear from source alone
Unclear from source alone,"Revolt of Pougatchev, Russia",1773-1774,,Unclear from source alone
unclear from source alone,"Troubles in Congo-Kinshasa, UN intervention",1960-1966,,unclear from source alone
unclear from source alone,Northern Ireland troubles,1968-not provided,,unclear from source alone
Unclear from source alone,War of Bavarian succession,1777-1779,,Unclear from source alone
Unclear from source alone,Chinese expedition in Annam,1788-1789,,Unclear from source alone
Unclear from source alone,Second partitioning of Poland,1792-1793,,Unclear from source alone
unclear from source alone,Vietnam War,1960-1975,,unclear from source alone
Unclear from source alone,French Revolution,1789-1799,,Unclear from source alone
unclear from source alone,Civil war of Nigeria (Biafra),1967-1970,,unclear from source alone
unclear from source alone,Chinese cultural revolution,1965-1969,,unclear from source alone
Unclear from source alone,"Rebellion of natives of Koukou-Nor, China",1807-1807,,Unclear from source alone
unclear from source alone,Massacres in Indonesia,1965-1965,,unclear from source alone
Unclear from source alone,Third partitioning of Poland,1794-1795,,Unclear from source alone
unclear from source alone,Racial troubles in the US,1963-1971,,unclear from source alone
unclear from source alone,Violent clashes at Sino-Soviet border,1969-1969,,unclear from source alone
Unclear from source alone,White Lotus Uprising in China,1795-1803,,Unclear from source alone
unclear from source alone,Third civil war in China,1946-1950,,unclear from source alone
Unclear from source alone,Troubles in the Caucasus,1829-1864,,Unclear from source alone
unclear from source alone,"Korean War, UN intervention",1950-1953,,unclear from source alone
unclear from source alone,Civil war in China (expedition to North vs Warlords),1926-1928,,unclear from source alone
Unclear from source alone,War of the Duchies,1863-1864,,Unclear from source alone
