participant,conflict_name,years,participant_correction,participant_new
Austria-Hungary,Italian Liberals vs Government; Austria-Hungary intervention,1820-1821,,Austria-Hungary
Austria-Hungary,Neapolitan War (Austria-Hungary),1815-1815,,Austria-Hungary
Austria-Hungary,Austria-Hungary vs Turkey,1566-1568,,Austria-Hungary
Austria-Hungary,Dalmatians vs Austria-Hungary,1881-1881,,Austria-Hungary
Austria-Hungary,Hungary vs Austria-Hungary & Russia,1848-1849,,Austria-Hungary
Austria-Hungary,Austria-Hungary involvement in WWI,1914-1918,,Austria-Hungary
Austria-Hungary,Bosnian rebellion vs Austria-Hungary,1878-1878,,Austria-Hungary
Austria-Hungary invades,France vs Rome; Austria-Hungary invade,1849-1849,,Austria-Hungary invades
Austrian Socialists,Austrian Socialists vs Fascist Government,1934-1934,,Austrian Socialists
Bali,Indonesia: Netherlands vs Bali,1894-1894,,Bali
Baluchis,"India: UK vs Baluchis, Sind Army",1843-1843,,Baluchis
Baluchis (Pakistan),Pakistan: Baluchis vs Government; Afghanistan intervention,1973-1977,,Baluchis (Pakistan)
Bangladesh,India intervention in Bangladesh with famine and massacres,1971-1971,,Bangladesh
Bantu,Bantu vs Boers in South Africa,1854-1854,,Bantu
Basuto insurgents (South Africa),Basuto revolt vs UK in South Africa,1880-1881,,Basuto insurgents (South Africa)
Belgian,Belgian in WWII,1940-1940,,Belgian
Belgian,"Zaire: UK, Belgian intervention, Katanga",1960-1965,,Belgian
Belgian,Belgian in WWI,1914-1918,,Belgian
Belgian,Belgian vs Netherlands with UK and France invading,1830-1833,,Belgian
Belgium,Zaire: Belgium vs Arabs,1892-1894,,Belgium
Bengal (India),India: Bengal vs UK,1756-1757,,Bengal (India)
Bengal Rulers (India),India: Bengal Rulers vs UK,1763-1765,,Bengal Rulers (India)
Bharalpur (India),India: UK besieged Bharalpur,1825-1828,,Bharalpur (India)
Bhutan, UK vs Bhutan,1864-1865,,Bhutan
Biafrans,"Biafrans vs Government, famine and massacre",1967-1970,,Biafrans
Blacks (Sudan),Sudan: Blacks vs Islamic Law,1984-1990,,Blacks (Sudan)
Blacks (Sudan),"Sudan: Blacks vs Government; UK, Egypt intervention",1963-1972,,Blacks (Sudan)
Blacks (Sudan),Sudan: Blacks vs Arabs,1869-1869,,Blacks (Sudan)
Blacks of Tanzania,Tanzania: Arabs & Blacks vs Germany,1888-1893,,Blacks of Tanzania
Boers,Boers vs Matabele in South Africa,1836-1837,,Boers
Boers (South Africa),Bantu vs Boers in South Africa,1854-1854,,Boers (South Africa)
Boers (South Africa),Boer independence vs UK in South Africa,1899-1902,,Boers (South Africa)
Bolivia,Latin America Independence from Spain,1810-1825,,Bolivia
Bolivia,"Spain vs Chile & Peru; Bolivia, Ecuador intervention",1865-1866,,Bolivia
Bolivia,Chile vs Peru & Bolivia,1879-1883,,Bolivia
Bolivia,Paraguay vs Bolivia (Chaco War),1932-1935,,Bolivia
Bolivia,Peru vs Bolivia,1841-1841,,Bolivia
Bolivia Government,Bolivia Revolution vs Government,1952-1952,,Bolivia Government
Bolivian Revolutionaries,Bolivia Revolution vs Government,1952-1952,,Bolivian Revolutionaries
Borneo,Indonesia: Bornean revolution vs Netherlands,1859-1880,,Borneo
Borneo,Indonesia: Bornean revolution vs Netherlands,1825-1825,,Borneo
Borneo Pirates,Indonesia: UK vs Borneo Pirates,1845-1845,,Borneo Pirates
Bornu (Chad),Rabeh vs Bornu in Chad,1893-1893,,Bornu (Chad)
Bosnia,Bosnia vs Turkey,1835-1837,,Bosnia
Bosnia,Bosnia vs Turkey,1841-1841,,Bosnia
Bosnians,Bosnian rebellion vs Austria-Hungary,1878-1878,,Bosnians
Brazil,"Liberals vs Government in Argentina, Brazil intervention",1851-1852,,Brazil
Brazil, World War II; Brazilian troops in Italy,1944-1945,,Brazil
Brazil,Paraguay vs Brazil & Argentina,1864-1870,,Brazil
Brazil Federal Gov,Brazil State vs Federal Government,1932-1932,,Brazil Federal Gov
Brazil Government,Brazilian Conservatives vs Government,1893-1894,,Brazil Government
Brazil Government,Brazilian Canudos vs Government,1896-1897,,Brazil Government
Brazil State,Brazil State vs Federal Government,1932-1932,,Brazil State
Brazilian Canudos,Brazilian Canudos vs Government,1896-1897,,Brazilian Canudos
Brazilian Conservatives,Brazilian Conservatives vs Government,1893-1894,,Brazilian Conservatives
Britain,Spanish-British War,1726-1729,,Britain
Buenos Aires,Buenos Aires vs Government in Argentina,1880-1880,,Buenos Aires
Buenos Aires,Buenos Aires vs Government in Argentina,1874-1875,,Buenos Aires
Buganda Tribe,Uganda: Buganda Tribe vs Government,1966-1966,,Buganda Tribe
Bulgaria,Bulgaria involvement in WWI,1915-1918,,Bulgaria
Bulgaria,2nd Balkan War vs Bulgaria,1913-1913,,Bulgaria
Bulgaria,Serbia vs Bulgaria; Austria-Hungary intervention,1885-1885,,Bulgaria
Bulgaria,Bulgaria involvement in WWII,1941-1945,,Bulgaria
Bulgarians,Balkan rebellion vs Turkey in Bulgaria,1875-1877,,Bulgarians
Burma,Burma invade China border,1765-1770,,Burma
Burma,Burma vs UK,1852-1853,,Burma
Burma,UK annexes Burma,1885-1886,,Burma
Burma,UK conquers Burma,1823-1826,,Burma
Burma Government,Burma: Communists vs Government,1980-1980,,Burma Government
Burma Government,"Burma: Karens vs Government, China intervention",1948-1951,,Burma Government
Burma Government,Burma: Rebels vs Government,1985-1988,,Burma Government
Burmese Communists,Burma: Communists vs Government,1980-1980,,Burmese Communists
Burmese Karens,"Burma: Karens vs Government, China intervention",1948-1951,,Burmese Karens
Burmese Rebels,Burma: Rebels vs Government,1985-1988,,Burmese Rebels
Burundi Hutus,Burundi Tutsis massacred Hutu civilians,1988-1988,,Burundi Hutus
Burundi Tutsis,Burundi Tutsis massacred Hutu civilians,1988-1988,,Burundi Tutsis
Cambodia,Cambodia: North Vietnam & US intervene in civil war,1970-1975,,Cambodia
Cambodia,Vietnam vs Cambodia,1978-1989,,Cambodia
Cambrian League,Cambrian League vs Venice,1508-1509,,Cambrian League
Cameroon,"Cameroon Independence vs France, UK",1955-1960,,Cameroon
Camisard insurgents,"""Camisard"" Insurrection in France",1702-1706,,Camisard insurgents
Canada, World War I,1914-1918,,Canada
Canada, World War II ,1939-1945,,Canada
Carlists,Carlists vs Government in Spain,1872-1876,,Carlists
Carlists,Carlists vs Government in Spain ,1847-1849,,Carlists
Carlists (Spain),"Carlists vs Government in Spain; UK, France, Portugal interventions",1833-1840,,Carlists (Spain)
Catholic cantons (Switzerland),Swiss Catholic vs Protestant cantons,1531-1531,,Catholic cantons (Switzerland)
Chad Government,"Chad Rebels vs Government; France, Libya intervention",1980-1987,,Chad Government
Chad Rebels,"Chad Rebels vs Government; France, Libya intervention",1980-1987,,Chad Rebels
Chile,Chile vs Peru & Bolivia,1879-1883,,Chile
Chile,"Spain vs Chile & Peru; Bolivia, Ecuador intervention",1865-1866,,Chile
Chile,Latin America Independence from Spain,1810-1825,,Chile
Chile Government,Chilean Congress vs Government,1891-1891,,Chile Government
Chile Government,Chilean Military coup; US intervention,1973-1973,,Chile Government
Chilean Army,Chilean Mine strikers vs Army,1987-1987,,Chilean Army
Chilean Congress,Chilean Congress vs Government,1891-1891,,Chilean Congress
Chilean Government,Chilean Executions by Government,1974-1974,,Chilean Government
Chilean Government,Chilean Liberals vs Government,1851-1851,,Chilean Government
Chilean Liberals,Chilean Liberals vs Government,1851-1851,,Chilean Liberals
Chilean Military,Chilean Military coup; US intervention,1973-1973,,Chilean Military
Chilean Mine strikers,Chilean Mine strikers vs Army,1987-1987,,Chilean Mine strikers
China,Muslim rebellions vs China,1860-1872,,China
China,Burma invade China border,1765-1770,,China
China,Japan vs China,1937-1941,,China
China,UK vs China (Opium War),1839-1842,,China
China,Tibet vs China,1912-1913,,China
China,USSR vs China,1929-1929,,China
China,France vs China,1884-1885,,China
China,China: USSR intervene Turkistan,1931-1934,,China
China,Japan vs China over Korea,1894-1895,,China
China,China in World War II,1941-1945,,China
China,China vs Kashgaria,1847-1848,,China
China,UK & France vs China (Opium),1856-1860,,China
China,China vs Kashgaria,1857-1857,,China
China,"China: Civil War; USSR, Japan intervention",1926-1928,,China
China,China vs Tibet,1950-1951,,China
China,Tibet vs China; UK intervention,1918-1918,,China
China,China attacks USSR border,1969-1969,,China
China,China vs Vietnam-border,1987-1987,,China
China,China vs Vietnam,1979-1979,,China
China,"Vietnam Independence from France; China, US intervention",1945-1954,,China
China,"Burma: Karens vs Government, China intervention",1948-1951,,China
China,France vs Annam; China intervention,1882-1885,,China
China,"Korean War; China, US intervention",1950-1953,,China
China,Taiwan vs China,1947-1947,,China
China,China vs Dzungars; massacres,1755-1757,,China
China,India: China vs India at border,1962-1962,,China
China,Chinese expedition to Annam (Vietnam),1788-1789,,China
China (Opium),China: Warlords vs Government,1929-1930,,China (Opium)
Chinese Bandits,China: Bandits vs Government,1913-1914,,Chinese Bandits
Chinese Communists,China: Communists vs Government,1930-1935,,Chinese Communists
Chinese Government,Chinese Government executes landlords,1950-1951,,Chinese Government
Chinese Government,China: Government executions,1990-1990,,Chinese Government
Chinese Government,China: Government killed students,1989-1989,,Chinese Government
Chinese Government,China: Government executions,1983-1984,,Chinese Government
Chinese Landlords,Chinese Government executes landlords,1950-1951,,Chinese Landlords
Chinese Manchuria,China: Manchuria vs Russian occupation,1900-1900,,Chinese Manchuria
Chinese Muslim rebels,China: Muslim rebellion vs Government,1928-1928,,Chinese Muslim rebels
Chinese Pai-Lings,China: Pai-Lings vs Government,1914-1914,,Chinese Pai-Lings
Chinese Republicans,China: Republicans vs Government,1911-1911,,Chinese Republicans
Chinese Republicans,China: Republicans vs Government,1913-1913,,Chinese Republicans
Chinese Szechuenese,China: Szechuenese vs others,1917-1918,,Chinese Szechuenese
Chinese Szechuenese,China: Szechuenese vs others,1920-1920,,Chinese Szechuenese
Chinese Yunnan insurgents,China: Yunnan revolt,1917-1918,,Chinese Yunnan insurgents
Christians,Iraq: Kurds massacred Christians,1933-1933,,Christians
Circassians,Circassians vs USSR,1829-1840,,Circassians
Civilians,Taiwan: Civilian riots vs government,1947-1947,,Civilians
Civilians,Civilians killed by Colombian Government,1986-1990,,Civilians
Civilians,Chilean Executions by Government,1974-1974,,Civilians
civilians,Uganda: Army vs people; massacres,1981-1987,,civilians
Civilians (Mozambique),Famine worsened by civil war in Mozambique,1981-1990,,Civilians (Mozambique)
Cochinchina (Vietnam),France invades Cochinchina (Vietnam),1858-1862,,Cochinchina (Vietnam)
Colombia,Latin America Independence from Spain,1810-1825,,Colombia
Colombia,Colombia vs Ecuador,1863-1863,,Colombia
Colombia Government,Colombian Liberals vs Government,1949-1962,,Colombia Government
Colombia Government,Colombian Liberals vs Government,1840-1842,,Colombia Government
Colombia Government,Colombian Liberals vs Government,1860-1862,,Colombia Government
Colombia Government,Colombian Liberals vs Government ,1899-1903,,Colombia Government
Colombia Government,Colombian Conservatives vs Government,1948-1848,,Colombia Government
Colombia Government,Colombian Liberals vs Government ,1884-1885,,Colombia Government
Colombia Government,Civilians killed by Colombian Government,1986-1990,,Colombia Government
Colombia Government,Colombian Conservatives vs Government,1876-1877,,Colombia Government
Colombian Conservatives,Colombian Conservatives vs Government,1948-1848,,Colombian Conservatives
Colombian Conservatives,Colombian Conservatives vs Government,1876-1877,,Colombian Conservatives
Colombian Democrats,Colombian Democrats vs Colombian regime,1854-1854,,Colombian Democrats
Colombian Liberals,Colombian Liberals vs Government,1840-1842,,Colombian Liberals
Colombian Liberals,Colombian Liberals vs Government ,1899-1903,,Colombian Liberals
Colombian Liberals,Colombian Liberals vs Government,1860-1862,,Colombian Liberals
Colombian Liberals,Colombian Liberals vs Government ,1884-1885,,Colombian Liberals
Colombian Liberals,Colombian Liberals vs Government,1949-1962,,Colombian Liberals
Colombian regime,Colombian Democrats vs Colombian regime,1854-1854,,Colombian regime
Colombian revolutionaries,Massacre of Colombian revolutionaries,1879-1879,,Colombian revolutionaries
Communists,Communists vs Kuomintang; US intervention,1946-1950,,Communists
Communists,Philippines: Communists vs Government; US intervention,1972-1989,,Communists
Con Cristeros,Con Cristeros vs Government,1926-1930,,Con Cristeros
Confederacy,Confederacy vs US Government,1861-1865,,Confederacy
Conservative Muslims,Syria: Government massacres Conservative Muslims,1982-1982,,Conservative Muslims
Contras,Contras vs Sandinistas in Nicaragua,1981-1988,,Contras
Corsica,France seizes Corsica,1763-1765,,Corsica
Cossack & Peasant Insurgents (Russia),Cossack & Peasant Revolt,1773-1774,,Cossack & Peasant Insurgents (Russia)
Costa Rica Government,"Costa Rica National Union Party vs Government, US intervention",1948-1948,,Costa Rica Government
Creek Indians,Creek Indians vs Whites (USA),1813-1814,,Creek Indians
Cretan insurgents,Cretan revolt vs Turkey,1889-1889,,Cretan insurgents
Crete,Turkey vs Venice over Crete,1645-1669,,Crete
Crete,Greece vs Turkey over Crete,1897-1897,,Crete
Cuba,US vs Spain over Cuba & Philippines,1898-1898,,Cuba
Cuba,Cuba & South Africa intervention in Angolan civil war,1975-1990,,Cuba
Cuba,Cuba vs Spain,1868-1878,,Cuba
Cuba,Cuba & Somalia intervention in Ethiopia,1976-1983,,Cuba
Cuba,Cuba vs Spain with US intervention,1895-1898,,Cuba
Cuba revolutionaries,Castro vs Batista; US intervention,1958-1959,,Cuba revolutionaries
Cuban Government,Castro vs Batista; US intervention,1958-1959,,Cuban Government
Cyprus,Turkey vs Spain & Italy in Cyprus,1570-1578,,Cyprus
Cyprus National Guard,Cyprus National Guard; Turkey invasion,1974-1974,,Cyprus National Guard
Czechoslovakia,Czechoslovakia involvement in WWII,1939-1945,,Czechoslovakia
Czechoslovakia,Czechoslavakia & Romania vs Hungary,1919-1919,,Czechoslovakia
Dahomey insurgents (Benin),Dahomey revolt vs France in Benin,1889-1892,,Dahomey insurgents (Benin)
Dalmatians,Dalmatians vs Austria-Hungary,1881-1881,,Dalmatians
Dards,India: Dards vs Dogras,1852-1852,,Dards
Darul Islam,Indonesia: Darul Islam vs Government,1953-1953,,Darul Islam
Delhi,India: Moguls vs Delhi,1525-1526,,Delhi
Delhi (India),India: Afghanistan captures Delhi,1758-1761,,Delhi (India)
Demonstrators,"Romanian Government, Romanian Demonstrators",1989-1989,,Demonstrators
Denmark,Kalmar (Denmark & Norway vs Sweden),1611-1613,,Denmark
Denmark,Prussia vs Denmark,1848-1849,,Denmark
Denmark,Prussia & Austria-Hungary vs Denmark,1864-1864,,Denmark
Denmark,Russia vs Sweden in Finland (Denmark intervention),1788-1790,,Denmark
Dissident Military,Indonesia: Dissident Military vs Government,1956-1960,,Dissident Military
dissidents, Iran: Islam vs Shah; dissidents,1978-1989,,dissidents
Dogras,Dogras vs Tibet,1841-1841,,Dogras
Dogras (India),India: Dards vs Dogras,1852-1852,,Dogras (India)
Dominican Republic (parties unclear),US intervene in Dominican Rep. civil war,1965-1965,,Dominican Republic (parties unclear)
Druses,Syria: Maronite vs Druse; Turkey intervention,1845-1845,,Druses
Dutch Insurgents,Dutch Insurrection vs Austria,1789-1790,,Dutch Insurgents
Dzungars,China: Dzungars invade Tibet,1716-1718,,Dzungars
Dzungars,China vs Dzungars; massacres,1755-1757,,Dzungars
East Timor,Indonesia: Annexation of East Timor; famine & massacres,1975-1982,,East Timor
Ecuador,"Spain vs Chile & Peru; Bolivia, Ecuador intervention",1865-1866,,Ecuador
Ecuador,Colombia vs Ecuador,1863-1863,,Ecuador
Egypt,India: Gujerat - Egypt vs Portugal,1508-1509,,Egypt
Egypt,Egypt vs UK,1882-1882,,Egypt
Egypt,Egypt vs slave-raiders,1878-1879,,Egypt
Egypt,Egypt vs Ethiopia,1875-1876,,Egypt
Egypt,Turkey vs Iran & Egypt,1514-1517,,Egypt
Egypt,Egypt conquered Nubians,1820-1821,,Egypt
Egypt,UK Expedition to Egypt,1807-1807,,Egypt
Egypt,"Suez in Egypt: Israel, France, UK invasion",1956-1956,,Egypt
Egypt,"Egypt Six-Day War, border conflicts",1967-1970,,Egypt
Egypt,"Syria: Egypt vs Turkey; Russia, France, UK intervention",1831-1832,,Egypt
Egypt,Sudan: Mahdist rebels UK; Egypt intervention,1882-1885,,Egypt
Egypt,Civil war in N Yemen; Egypt intervention,1962-1969,,Egypt
Egypt, Palestine vs Egypt,1834-1834,,Egypt
Egypt,Sudan vs Egypt and UK,1885-1895,,Egypt
Egypt,"Syria: Egypt vs Turkey & UK: Germany, Russia, France intervention",1839-1840,,Egypt
Egypt,Egypt and UK vs Sudan,1896-1899,,Egypt
Egypt,"Sudan: Blacks vs Government; UK, Egypt intervention",1963-1972,,Egypt
Egypt," Israel: Yom Kippur War vs Egypt, Syria",1973-1973,,Egypt
El Salvador,El Salvador vs Honduras (Soccer War),1969-1969,,El Salvador
El Salvador,Guatemala vs El Salvador,1885-1885,,El Salvador
El Salvador,Nicaragua vs El Salvador & Honduras,1907-1907,,El Salvador
El Salvador,Guatemala vs El Salvador & Honduras,1906-1906,,El Salvador
El Salvador Government,Salvadoran Democratic Front vs Government,1979-1990,,El Salvador Government
El Salvador Peasants,El Salvador Peasant uprising & massacres,1931-1932,,El Salvador Peasants
England,England vs Netherlands at sea,1652-1654,,England
England,England vs Netherlands,1665-1677,,England
England,Irish vs English (France intervention),1689-1691,,England
England,Irish Rebellion vs UK,1649-1650,,England
England,England vs France,1544-1546,,England
England,Scottish Rebellion vs UK,1667-1668,,England
England,Scots & UK vs France,1560-1560,,England
England,England vs Scotland,1522-1523,,England
England,England vs Scotland,1542-1550,,England
England,Scots try to seize power,1745-1746,,England
England,Dutch Independence & Spanish Armada,1585-1604,,England
England,Scotland vs England,1513-1515,,England
Eritrea,Eritrean revolt & famine in Ethiopia,1974-1990,,Eritrea
Estonia,Sweden vs Poland in Estonia,1600-1604,,Estonia
Ethiopia,UK invades Ethiopia to free captives,1867-1868,,Ethiopia
Ethiopia,Cuba & Somalia intervention in Ethiopia,1976-1983,,Ethiopia
Ethiopia,Egypt vs Ethiopia,1875-1876,,Ethiopia
Ethiopia,Eritrean revolt & famine in Ethiopia,1974-1990,,Ethiopia
Ethiopia,Italy vs Ethiopia,1895-1896,,Ethiopia
Ethiopia,Italy vs Ethiopia,1935-1936,,Ethiopia
Ethiopia,World War II - Ethiopia,1941-1941,,Ethiopia
famine and massacre,"Biafrans vs Government, famine and massacre",1967-1970,,famine and massacre
Finland,Russia vs Sweden in Finland (Denmark intervention),1788-1790,,Finland
Finland,USSR vs Finland,1939-1940,,Finland
Finland,Finland in World War II,1941-1944,,Finland
Finland Government,Finnish Communists vs Government,1918-1918,,Finland Government
Finnish Communists,Finnish Communists vs Government,1918-1918,,Finnish Communists
France,France vs Spain,1550-1556,,France
France,France vs Huguenots,1572-1573,,France
France,UK & France vs Netherlands,1672-1674,,France
France,"Taiping rebellion; UK, France intervention",1860-1864,,France
France,Huguenots vs France,1575-1576,,France
France,France vs Spain,1667-1668,,France
France,France vs Juarez (Mexico): Austria-Hungary intervention,1862-1867,,France
France,France vs Tunisia,1881-1881,,France
France,Huguenots vs France,1585-1589,,France
France,Greek mutiny vs UK & France,1857-1858,,France
France,"France conquers Tonkin, Vietnam",1873-1885,,France
France,France invades Cochinchina (Vietnam),1858-1862,,France
France,Madagascar revolt vs France,1883-1885,,France
France,France vs Annam; China intervention,1882-1885,,France
France,France vs Spain,1590-1598,,France
France,Belgian vs Netherlands with UK and France invading,1830-1833,,France
France,"USSR vs Poland, France intervention",1919-1920,,France
France,"Vietnam Independence from France; China, US intervention",1945-1954,,France
France,"Suez in Egypt: Israel, France, UK invasion",1956-1956,,France
France,Spain vs France,1650-1659,,France
France,France vs Hapsburgs with UK intervention,1557-1560,,France
France,Algeria vs France,1871-1872,,France
France,UK & France vs Spain,1656-1659,,France
France,China: Warlords vs Government,1929-1930,,France
France,France & Sweden vs Holy Roman Empire,1618-1648,,France
France,France vs Netherlands,1672-1679,,France
France,France vs Augsberg League,1688-1697,,France
France,Scots & UK vs France,1560-1560,,France
France,"Portuguese Conservatives vs Government; UK, France, Spain intervention",1829-1834,,France
France,France involvement in World War I,1914-1918,,France
France,"Mexican Liberals vs Government; UK, France, Spain, Austria intervention",1858-1861,,France
France,"France involvement in World War II (Allied 39-40, 44-45)",1939-1945,,France
France,France vs Algeria,1839-1847,,France
France,Madagascar Independence from France,1947-1948,,France
France,England vs France,1544-1546,,France
France,France vs Germany/Prussia,1870-1871,,France
France,Kabylia uprising vs France in Algeria,1856-1857,,France
France,France vs China,1884-1885,,France
France,"Syria: Egypt vs Turkey; Russia, France, UK intervention",1831-1832,,France
France,Huguenots vs France; UK intervention,1562-1564,,France
France,France vs Siam,1893-1893,,France
France,"UK, France, US expedition to Japan",1863-1883,,France
France,France vs Thailand,1940-1941,,France
France,UK & France vs China (Opium),1856-1860,,France
France,Spanish Royalist vs Government; France invades,1821-1823,,France
France,Huguenots vs France,1567-1568,,France
France,Irish vs English (France intervention),1689-1691,,France
France,Huguenot vs France,1569-1570,,France
France,France annexed Madagascar,1894-1895,,France
France,Prussia & Italy vs Austria; France intervention,1866-1866,,France
France,Morocco: Independence from France; Spain intervention,1953-1956,,France
France,France intervention in Algerian civil war,1954-1962,,France
France,France vs Spain in Italy,1535-1537,,France
France,France vs Spain & UK in Italy,1556-1559,,France
France,France & Turkey vs Spain in Italy,1542-1545,,France
France,"Turkey v Russia; UK, France, Italy invade",1853-1856,,France
France,France intervention in Algerian civil war,1945-1945,,France
France,King of Ethiopia kills Rebels; France intervention,1861-1861,,France
France,France vs Spain in Italy,1526-1529,,France
France,France vs Spain in Italy,1521-1526,,France
France,France vs Swiss for Milan,1515-1516,,France
