location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Argentina,2020-01-04,12,17.0,0.0,0.0,0.0
Argentina,2020-01-04,18,29.0,0.0,0.0,0.0
Argentina,2020-01-04,3,11.0,0.0,0.0,0.0
Argentina,2020-01-04,30,39.0,0.0,0.0,0.0
Argentina,2020-01-04,40,49.0,0.0,0.0,0.0
Argentina,2020-01-04,50,59.0,0.0,0.0,0.0
Argentina,2020-01-04,60,69.0,0.0,0.0,0.0
Argentina,2020-01-04,70,79.0,0.0,0.0,0.0
Argentina,2020-01-04,80,89.0,0.0,0.0,0.0
Argentina,2020-01-04,90,99.0,0.0,0.0,0.0
Argentina,2020-01-05,100,,0.0,0.0,0.0
Argentina,2020-01-05,12,17.0,0.0,0.0,0.0
Argentina,2020-01-05,18,29.0,0.0,0.0,0.0
Argentina,2020-01-05,3,11.0,0.0,0.0,0.0
Argentina,2020-01-05,30,39.0,0.0,0.0,0.0
Argentina,2020-01-05,40,49.0,0.0,0.0,0.0
Argentina,2020-01-05,50,59.0,0.0,0.0,0.0
Argentina,2020-01-05,60,69.0,0.0,0.0,0.0
Argentina,2020-01-05,70,79.0,0.0,0.0,0.0
Argentina,2020-01-05,80,89.0,0.0,0.0,0.0
Argentina,2020-01-05,90,99.0,0.0,0.0,0.0
Argentina,2020-01-06,100,,0.0,0.0,0.0
Argentina,2020-01-06,12,17.0,0.0,0.0,0.0
Argentina,2020-01-06,18,29.0,0.0,0.0,0.0
Argentina,2020-01-06,3,11.0,0.0,0.0,0.0
Argentina,2020-01-06,30,39.0,0.0,0.0,0.0
Argentina,2020-01-06,40,49.0,0.0,0.0,0.0
Argentina,2020-01-06,50,59.0,0.0,0.0,0.0
Argentina,2020-01-06,60,69.0,0.0,0.0,0.0
Argentina,2020-01-06,70,79.0,0.0,0.0,0.0
Argentina,2020-01-06,80,89.0,0.0,0.0,0.0
Argentina,2020-01-06,90,99.0,0.0,0.0,0.0
Argentina,2020-01-07,100,,0.0,0.0,0.0
Argentina,2020-01-07,12,17.0,0.0,0.0,0.0
Argentina,2020-01-07,18,29.0,0.0,0.0,0.0
Argentina,2020-01-07,3,11.0,0.0,0.0,0.0
Argentina,2020-01-07,30,39.0,0.0,0.0,0.0
Argentina,2020-01-07,40,49.0,0.0,0.0,0.0
Argentina,2020-01-07,50,59.0,0.0,0.0,0.0
Argentina,2020-01-07,60,69.0,0.0,0.0,0.0
Argentina,2020-01-07,70,79.0,0.0,0.0,0.0
Argentina,2020-01-07,80,89.0,0.0,0.0,0.0
Argentina,2020-01-07,90,99.0,0.0,0.0,0.0
Argentina,2020-01-08,100,,0.0,0.0,0.0
Argentina,2020-01-08,12,17.0,0.0,0.0,0.0
Argentina,2020-01-08,18,29.0,0.0,0.0,0.0
Argentina,2020-01-08,3,11.0,0.0,0.0,0.0
Argentina,2020-01-08,30,39.0,0.0,0.0,0.0
Argentina,2020-01-08,40,49.0,0.0,0.0,0.0
Argentina,2020-01-08,50,59.0,0.0,0.0,0.0
Argentina,2020-01-08,60,69.0,0.0,0.0,0.0
Argentina,2020-01-08,70,79.0,0.0,0.0,0.0
Argentina,2020-01-08,80,89.0,0.0,0.0,0.0
Argentina,2020-01-08,90,99.0,0.0,0.0,0.0
Argentina,2020-01-09,100,,0.0,0.0,0.0
Argentina,2020-01-09,12,17.0,0.0,0.0,0.0
Argentina,2020-01-09,18,29.0,0.0,0.0,0.0
Argentina,2020-01-09,3,11.0,0.0,0.0,0.0
Argentina,2020-01-09,30,39.0,0.0,0.0,0.0
Argentina,2020-01-09,40,49.0,0.0,0.0,0.0
Argentina,2020-01-09,50,59.0,0.0,0.0,0.0
Argentina,2020-01-09,60,69.0,0.0,0.0,0.0
Argentina,2020-01-09,70,79.0,0.0,0.0,0.0
Argentina,2020-01-09,80,89.0,0.0,0.0,0.0
Argentina,2020-01-09,90,99.0,0.0,0.0,0.0
Argentina,2020-01-10,100,,0.0,0.0,0.0
Argentina,2020-01-10,12,17.0,0.0,0.0,0.0
Argentina,2020-01-10,18,29.0,0.0,0.0,0.0
Argentina,2020-01-10,3,11.0,0.0,0.0,0.0
Argentina,2020-01-10,30,39.0,0.0,0.0,0.0
Argentina,2020-01-10,40,49.0,0.0,0.0,0.0
Argentina,2020-01-10,50,59.0,0.0,0.0,0.0
Argentina,2020-01-10,60,69.0,0.0,0.0,0.0
Argentina,2020-01-10,70,79.0,0.0,0.0,0.0
Argentina,2020-01-10,80,89.0,0.0,0.0,0.0
Argentina,2020-01-10,90,99.0,0.0,0.0,0.0
Argentina,2020-01-11,100,,0.0,0.0,0.0
Argentina,2020-01-11,12,17.0,0.0,0.0,0.0
Argentina,2020-01-11,18,29.0,0.0,0.0,0.0
Argentina,2020-01-11,3,11.0,0.0,0.0,0.0
Argentina,2020-01-11,30,39.0,0.0,0.0,0.0
Argentina,2020-01-11,40,49.0,0.0,0.0,0.0
Argentina,2020-01-11,50,59.0,0.0,0.0,0.0
Argentina,2020-01-11,60,69.0,0.0,0.0,0.0
Argentina,2020-01-11,70,79.0,0.0,0.0,0.0
Argentina,2020-01-11,80,89.0,0.0,0.0,0.0
Argentina,2020-01-11,90,99.0,0.0,0.0,0.0
Argentina,2020-01-12,100,,0.0,0.0,0.0
Argentina,2020-01-12,12,17.0,0.0,0.0,0.0
Argentina,2020-01-12,18,29.0,0.0,0.0,0.0
Argentina,2020-01-12,3,11.0,0.0,0.0,0.0
Argentina,2020-01-12,30,39.0,0.0,0.0,0.0
Argentina,2020-01-12,40,49.0,0.0,0.0,0.0
Argentina,2020-01-12,50,59.0,0.0,0.0,0.0
Argentina,2020-01-12,60,69.0,0.0,0.0,0.0
Argentina,2020-01-12,70,79.0,0.0,0.0,0.0
Argentina,2020-01-12,80,89.0,0.0,0.0,0.0
Argentina,2020-01-12,90,99.0,0.0,0.0,0.0
Argentina,2020-01-13,100,,0.0,0.0,0.0
Argentina,2020-01-13,12,17.0,0.0,0.0,0.0
Argentina,2020-01-13,18,29.0,0.0,0.0,0.0
Argentina,2020-01-13,3,11.0,0.0,0.0,0.0
Argentina,2020-01-13,30,39.0,0.0,0.0,0.0
Argentina,2020-01-13,40,49.0,0.0,0.0,0.0
Argentina,2020-01-13,50,59.0,0.0,0.0,0.0
Argentina,2020-01-13,60,69.0,0.0,0.0,0.0
Argentina,2020-01-13,70,79.0,0.0,0.0,0.0
Argentina,2020-01-13,80,89.0,0.0,0.0,0.0
Argentina,2020-01-13,90,99.0,0.0,0.0,0.0
Argentina,2020-01-14,100,,0.0,0.0,0.0
Argentina,2020-01-14,12,17.0,0.0,0.0,0.0
Argentina,2020-01-14,18,29.0,0.0,0.0,0.0
Argentina,2020-01-14,3,11.0,0.0,0.0,0.0
Argentina,2020-01-14,30,39.0,0.0,0.0,0.0
Argentina,2020-01-14,40,49.0,0.0,0.0,0.0
Argentina,2020-01-14,50,59.0,0.0,0.0,0.0
Argentina,2020-01-14,60,69.0,0.0,0.0,0.0
Argentina,2020-01-14,70,79.0,0.0,0.0,0.0
Argentina,2020-01-14,80,89.0,0.0,0.0,0.0
Argentina,2020-01-14,90,99.0,0.0,0.0,0.0
Argentina,2020-01-15,100,,0.0,0.0,0.0
Argentina,2020-01-15,12,17.0,0.0,0.0,0.0
Argentina,2020-01-15,18,29.0,0.0,0.0,0.0
Argentina,2020-01-15,3,11.0,0.0,0.0,0.0
Argentina,2020-01-15,30,39.0,0.0,0.0,0.0
Argentina,2020-01-15,40,49.0,0.0,0.0,0.0
Argentina,2020-01-15,50,59.0,0.0,0.0,0.0
Argentina,2020-01-15,60,69.0,0.0,0.0,0.0
Argentina,2020-01-15,70,79.0,0.0,0.0,0.0
Argentina,2020-01-15,80,89.0,0.0,0.0,0.0
Argentina,2020-01-15,90,99.0,0.0,0.0,0.0
Argentina,2020-01-16,100,,0.0,0.0,0.0
Argentina,2020-01-16,12,17.0,0.0,0.0,0.0
Argentina,2020-01-16,18,29.0,0.0,0.0,0.0
Argentina,2020-01-16,3,11.0,0.0,0.0,0.0
Argentina,2020-01-16,30,39.0,0.0,0.0,0.0
Argentina,2020-01-16,40,49.0,0.0,0.0,0.0
Argentina,2020-01-16,50,59.0,0.0,0.0,0.0
Argentina,2020-01-16,60,69.0,0.0,0.0,0.0
Argentina,2020-01-16,70,79.0,0.0,0.0,0.0
Argentina,2020-01-16,80,89.0,0.0,0.0,0.0
Argentina,2020-01-16,90,99.0,0.0,0.0,0.0
Argentina,2020-01-17,100,,0.0,0.0,0.0
Argentina,2020-01-17,12,17.0,0.0,0.0,0.0
Argentina,2020-01-17,18,29.0,0.0,0.0,0.0
Argentina,2020-01-17,3,11.0,0.0,0.0,0.0
Argentina,2020-01-17,30,39.0,0.0,0.0,0.0
Argentina,2020-01-17,40,49.0,0.0,0.0,0.0
Argentina,2020-01-17,50,59.0,0.0,0.0,0.0
Argentina,2020-01-17,60,69.0,0.0,0.0,0.0
Argentina,2020-01-17,70,79.0,0.0,0.0,0.0
Argentina,2020-01-17,80,89.0,0.0,0.0,0.0
Argentina,2020-01-17,90,99.0,0.0,0.0,0.0
Argentina,2020-01-18,100,,0.0,0.0,0.0
Argentina,2020-01-18,12,17.0,0.0,0.0,0.0
Argentina,2020-01-18,18,29.0,0.0,0.0,0.0
Argentina,2020-01-18,3,11.0,0.0,0.0,0.0
Argentina,2020-01-18,30,39.0,0.0,0.0,0.0
Argentina,2020-01-18,40,49.0,0.0,0.0,0.0
Argentina,2020-01-18,50,59.0,0.0,0.0,0.0
Argentina,2020-01-18,60,69.0,0.0,0.0,0.0
Argentina,2020-01-18,70,79.0,0.0,0.0,0.0
Argentina,2020-01-18,80,89.0,0.0,0.0,0.0
Argentina,2020-01-18,90,99.0,0.0,0.0,0.0
Argentina,2020-01-19,100,,0.0,0.0,0.0
Argentina,2020-01-19,12,17.0,0.0,0.0,0.0
Argentina,2020-01-19,18,29.0,0.0,0.0,0.0
Argentina,2020-01-19,3,11.0,0.0,0.0,0.0
Argentina,2020-01-19,30,39.0,0.0,0.0,0.0
Argentina,2020-01-19,40,49.0,0.0,0.0,0.0
Argentina,2020-01-19,50,59.0,0.0,0.0,0.0
Argentina,2020-01-19,60,69.0,0.0,0.0,0.0
Argentina,2020-01-19,70,79.0,0.0,0.0,0.0
Argentina,2020-01-19,80,89.0,0.0,0.0,0.0
Argentina,2020-01-19,90,99.0,0.0,0.0,0.0
Argentina,2020-01-20,100,,0.0,0.0,0.0
Argentina,2020-01-20,12,17.0,0.0,0.0,0.0
Argentina,2020-01-20,18,29.0,0.0,0.0,0.0
Argentina,2020-01-20,3,11.0,0.0,0.0,0.0
Argentina,2020-01-20,30,39.0,0.0,0.0,0.0
Argentina,2020-01-20,40,49.0,0.0,0.0,0.0
Argentina,2020-01-20,50,59.0,0.0,0.0,0.0
Argentina,2020-01-20,60,69.0,0.0,0.0,0.0
Argentina,2020-01-20,70,79.0,0.0,0.0,0.0
Argentina,2020-01-20,80,89.0,0.0,0.0,0.0
Argentina,2020-01-20,90,99.0,0.0,0.0,0.0
Argentina,2020-01-21,100,,0.0,0.0,0.0
Argentina,2020-01-21,12,17.0,0.0,0.0,0.0
Argentina,2020-01-21,18,29.0,0.0,0.0,0.0
Argentina,2020-01-21,3,11.0,0.0,0.0,0.0
Argentina,2020-01-21,30,39.0,0.0,0.0,0.0
Argentina,2020-01-21,40,49.0,0.0,0.0,0.0
Argentina,2020-01-21,50,59.0,0.0,0.0,0.0
Argentina,2020-01-21,60,69.0,0.0,0.0,0.0
Argentina,2020-01-21,70,79.0,0.0,0.0,0.0
Argentina,2020-01-21,80,89.0,0.0,0.0,0.0
Argentina,2020-01-21,90,99.0,0.0,0.0,0.0
Argentina,2020-01-22,100,,0.0,0.0,0.0
Argentina,2020-01-22,12,17.0,0.0,0.0,0.0
Argentina,2020-01-22,18,29.0,0.0,0.0,0.0
Argentina,2020-01-22,3,11.0,0.0,0.0,0.0
Argentina,2020-01-22,30,39.0,0.0,0.0,0.0
Argentina,2020-01-22,40,49.0,0.0,0.0,0.0
Argentina,2020-01-22,50,59.0,0.0,0.0,0.0
Argentina,2020-01-22,60,69.0,0.0,0.0,0.0
Argentina,2020-01-22,70,79.0,0.0,0.0,0.0
Argentina,2020-01-22,80,89.0,0.0,0.0,0.0
Argentina,2020-01-22,90,99.0,0.0,0.0,0.0
Argentina,2020-01-23,100,,0.0,0.0,0.0
Argentina,2020-01-23,12,17.0,0.0,0.0,0.0
Argentina,2020-01-23,18,29.0,0.0,0.0,0.0
Argentina,2020-01-23,3,11.0,0.0,0.0,0.0
Argentina,2020-01-23,30,39.0,0.0,0.0,0.0
Argentina,2020-01-23,40,49.0,0.0,0.0,0.0
Argentina,2020-01-23,50,59.0,0.0,0.0,0.0
Argentina,2020-01-23,60,69.0,0.0,0.0,0.0
Argentina,2020-01-23,70,79.0,0.0,0.0,0.0
Argentina,2020-01-23,80,89.0,0.0,0.0,0.0
Argentina,2020-01-23,90,99.0,0.0,0.0,0.0
Argentina,2020-01-24,100,,0.0,0.0,0.0
Argentina,2020-01-24,12,17.0,0.0,0.0,0.0
Argentina,2020-01-24,18,29.0,0.0,0.0,0.0
Argentina,2020-01-24,3,11.0,0.0,0.0,0.0
Argentina,2020-01-24,30,39.0,0.0,0.0,0.0
Argentina,2020-01-24,40,49.0,0.0,0.0,0.0
Argentina,2020-01-24,50,59.0,0.0,0.0,0.0
Argentina,2020-01-24,60,69.0,0.0,0.0,0.0
Argentina,2020-01-24,70,79.0,0.0,0.0,0.0
Argentina,2020-01-24,80,89.0,0.0,0.0,0.0
Argentina,2020-01-24,90,99.0,0.0,0.0,0.0
Argentina,2020-01-25,100,,0.0,0.0,0.0
Argentina,2020-01-25,12,17.0,0.0,0.0,0.0
Argentina,2020-01-25,18,29.0,0.0,0.0,0.0
Argentina,2020-01-25,3,11.0,0.0,0.0,0.0
Argentina,2020-01-25,30,39.0,0.0,0.0,0.0
Argentina,2020-01-25,40,49.0,0.0,0.0,0.0
Argentina,2020-01-25,50,59.0,0.0,0.0,0.0
Argentina,2020-01-25,60,69.0,0.0,0.0,0.0
Argentina,2020-01-25,70,79.0,0.0,0.0,0.0
Argentina,2020-01-25,80,89.0,0.0,0.0,0.0
Argentina,2020-01-25,90,99.0,0.0,0.0,0.0
Argentina,2020-01-26,100,,0.0,0.0,0.0
Argentina,2020-01-26,12,17.0,0.0,0.0,0.0
Argentina,2020-01-26,18,29.0,0.0,0.0,0.0
Argentina,2020-01-26,3,11.0,0.0,0.0,0.0
Argentina,2020-01-26,30,39.0,0.0,0.0,0.0
Argentina,2020-01-26,40,49.0,0.0,0.0,0.0
Argentina,2020-01-26,50,59.0,0.0,0.0,0.0
Argentina,2020-01-26,60,69.0,0.0,0.0,0.0
Argentina,2020-01-26,70,79.0,0.0,0.0,0.0
Argentina,2020-01-26,80,89.0,0.0,0.0,0.0
Argentina,2020-01-26,90,99.0,0.0,0.0,0.0
Argentina,2020-01-27,100,,0.0,0.0,0.0
Argentina,2020-01-27,12,17.0,0.0,0.0,0.0
Argentina,2020-01-27,18,29.0,0.0,0.0,0.0
Argentina,2020-01-27,3,11.0,0.0,0.0,0.0
Argentina,2020-01-27,30,39.0,0.0,0.0,0.0
Argentina,2020-01-27,40,49.0,0.0,0.0,0.0
Argentina,2020-01-27,50,59.0,0.0,0.0,0.0
Argentina,2020-01-27,60,69.0,0.0,0.0,0.0
Argentina,2020-01-27,70,79.0,0.0,0.0,0.0
Argentina,2020-01-27,80,89.0,0.0,0.0,0.0
Argentina,2020-01-27,90,99.0,0.0,0.0,0.0
Argentina,2020-01-28,100,,0.0,0.0,0.0
Argentina,2020-01-28,12,17.0,0.0,0.0,0.0
Argentina,2020-01-28,18,29.0,0.0,0.0,0.0
Argentina,2020-01-28,3,11.0,0.0,0.0,0.0
Argentina,2020-01-28,30,39.0,0.0,0.0,0.0
Argentina,2020-01-28,40,49.0,0.0,0.0,0.0
Argentina,2020-01-28,50,59.0,0.0,0.0,0.0
Argentina,2020-01-28,60,69.0,0.0,0.0,0.0
Argentina,2020-01-28,70,79.0,0.0,0.0,0.0
Argentina,2020-01-28,80,89.0,0.0,0.0,0.0
Argentina,2020-01-28,90,99.0,0.0,0.0,0.0
Argentina,2020-01-29,100,,0.0,0.0,0.0
Argentina,2020-01-29,12,17.0,0.0,0.0,0.0
Argentina,2020-01-29,18,29.0,0.0,0.0,0.0
Argentina,2020-01-29,3,11.0,0.0,0.0,0.0
Argentina,2020-01-29,30,39.0,0.0,0.0,0.0
Argentina,2020-01-29,40,49.0,0.0,0.0,0.0
Argentina,2020-01-29,50,59.0,0.0,0.0,0.0
Argentina,2020-01-29,60,69.0,0.0,0.0,0.0
Argentina,2020-01-29,70,79.0,0.0,0.0,0.0
Argentina,2020-01-29,80,89.0,0.0,0.0,0.0
Argentina,2020-01-29,90,99.0,0.0,0.0,0.0
Argentina,2020-01-30,100,,0.0,0.0,0.0
Argentina,2020-01-30,12,17.0,0.0,0.0,0.0
Argentina,2020-01-30,18,29.0,0.0,0.0,0.0
Argentina,2020-01-30,3,11.0,0.0,0.0,0.0
Argentina,2020-01-30,30,39.0,0.0,0.0,0.0
Argentina,2020-01-30,40,49.0,0.0,0.0,0.0
Argentina,2020-01-30,50,59.0,0.0,0.0,0.0
Argentina,2020-01-30,60,69.0,0.0,0.0,0.0
Argentina,2020-01-30,70,79.0,0.0,0.0,0.0
Argentina,2020-01-30,80,89.0,0.0,0.0,0.0
Argentina,2020-01-30,90,99.0,0.0,0.0,0.0
Argentina,2020-01-31,100,,0.0,0.0,0.0
Argentina,2020-01-31,12,17.0,0.0,0.0,0.0
Argentina,2020-01-31,18,29.0,0.0,0.0,0.0
Argentina,2020-01-31,3,11.0,0.0,0.0,0.0
Argentina,2020-01-31,30,39.0,0.0,0.0,0.0
Argentina,2020-01-31,40,49.0,0.0,0.0,0.0
Argentina,2020-01-31,50,59.0,0.0,0.0,0.0
Argentina,2020-01-31,60,69.0,0.0,0.0,0.0
Argentina,2020-01-31,70,79.0,0.0,0.0,0.0
Argentina,2020-01-31,80,89.0,0.0,0.0,0.0
Argentina,2020-01-31,90,99.0,0.0,0.0,0.0
Argentina,2020-02-01,100,,0.0,0.0,0.0
Argentina,2020-02-01,12,17.0,0.0,0.0,0.0
Argentina,2020-02-01,18,29.0,0.0,0.0,0.0
Argentina,2020-02-01,3,11.0,0.0,0.0,0.0
Argentina,2020-02-01,30,39.0,0.0,0.0,0.0
Argentina,2020-02-01,40,49.0,0.0,0.0,0.0
Argentina,2020-02-01,50,59.0,0.0,0.0,0.0
Argentina,2020-02-01,60,69.0,0.0,0.0,0.0
Argentina,2020-02-01,70,79.0,0.0,0.0,0.0
Argentina,2020-02-01,80,89.0,0.0,0.0,0.0
Argentina,2020-02-01,90,99.0,0.0,0.0,0.0
Argentina,2020-02-02,100,,0.0,0.0,0.0
Argentina,2020-02-02,12,17.0,0.0,0.0,0.0
Argentina,2020-02-02,18,29.0,0.0,0.0,0.0
Argentina,2020-02-02,3,11.0,0.0,0.0,0.0
Argentina,2020-02-02,30,39.0,0.0,0.0,0.0
Argentina,2020-02-02,40,49.0,0.0,0.0,0.0
Argentina,2020-02-02,50,59.0,0.0,0.0,0.0
Argentina,2020-02-02,60,69.0,0.0,0.0,0.0
Argentina,2020-02-02,70,79.0,0.0,0.0,0.0
Argentina,2020-02-02,80,89.0,0.0,0.0,0.0
Argentina,2020-02-02,90,99.0,0.0,0.0,0.0
Argentina,2020-02-03,100,,0.0,0.0,0.0
Argentina,2020-02-03,12,17.0,0.0,0.0,0.0
Argentina,2020-02-03,18,29.0,0.0,0.0,0.0
Argentina,2020-02-03,3,11.0,0.0,0.0,0.0
Argentina,2020-02-03,30,39.0,0.0,0.0,0.0
Argentina,2020-02-03,40,49.0,0.0,0.0,0.0
Argentina,2020-02-03,50,59.0,0.0,0.0,0.0
Argentina,2020-02-03,60,69.0,0.0,0.0,0.0
Argentina,2020-02-03,70,79.0,0.0,0.0,0.0
Argentina,2020-02-03,80,89.0,0.0,0.0,0.0
Argentina,2020-02-03,90,99.0,0.0,0.0,0.0
Argentina,2020-02-04,100,,0.0,0.0,0.0
Argentina,2020-02-04,12,17.0,0.0,0.0,0.0
Argentina,2020-02-04,18,29.0,0.0,0.0,0.0
Argentina,2020-02-04,3,11.0,0.0,0.0,0.0
Argentina,2020-02-04,30,39.0,0.0,0.0,0.0
Argentina,2020-02-04,40,49.0,0.0,0.0,0.0
Argentina,2020-02-04,50,59.0,0.0,0.0,0.0
Argentina,2020-02-04,60,69.0,0.0,0.0,0.0
Argentina,2020-02-04,70,79.0,0.0,0.0,0.0
Argentina,2020-02-04,80,89.0,0.0,0.0,0.0
Argentina,2020-02-04,90,99.0,0.0,0.0,0.0
Argentina,2020-02-05,100,,0.0,0.0,0.0
Argentina,2020-02-05,12,17.0,0.0,0.0,0.0
Argentina,2020-02-05,18,29.0,0.0,0.0,0.0
Argentina,2020-02-05,3,11.0,0.0,0.0,0.0
Argentina,2020-02-05,30,39.0,0.0,0.0,0.0
Argentina,2020-02-05,40,49.0,0.0,0.0,0.0
Argentina,2020-02-05,50,59.0,0.0,0.0,0.0
Argentina,2020-02-05,60,69.0,0.0,0.0,0.0
Argentina,2020-02-05,70,79.0,0.0,0.0,0.0
Argentina,2020-02-05,80,89.0,0.0,0.0,0.0
Argentina,2020-02-05,90,99.0,0.0,0.0,0.0
Argentina,2020-02-06,100,,0.0,0.0,0.0
Argentina,2020-02-06,12,17.0,0.0,0.0,0.0
Argentina,2020-02-06,18,29.0,0.0,0.0,0.0
Argentina,2020-02-06,3,11.0,0.0,0.0,0.0
Argentina,2020-02-06,30,39.0,0.0,0.0,0.0
Argentina,2020-02-06,40,49.0,0.0,0.0,0.0
Argentina,2020-02-06,50,59.0,0.0,0.0,0.0
Argentina,2020-02-06,60,69.0,0.0,0.0,0.0
Argentina,2020-02-06,70,79.0,0.0,0.0,0.0
Argentina,2020-02-06,80,89.0,0.0,0.0,0.0
Argentina,2020-02-06,90,99.0,0.0,0.0,0.0
Argentina,2020-02-07,100,,0.0,0.0,0.0
Argentina,2020-02-07,12,17.0,0.0,0.0,0.0
Argentina,2020-02-07,18,29.0,0.0,0.0,0.0
Argentina,2020-02-07,3,11.0,0.0,0.0,0.0
Argentina,2020-02-07,30,39.0,0.0,0.0,0.0
Argentina,2020-02-07,40,49.0,0.0,0.0,0.0
Argentina,2020-02-07,50,59.0,0.0,0.0,0.0
Argentina,2020-02-07,60,69.0,0.0,0.0,0.0
Argentina,2020-02-07,70,79.0,0.0,0.0,0.0
Argentina,2020-02-07,80,89.0,0.0,0.0,0.0
Argentina,2020-02-07,90,99.0,0.0,0.0,0.0
Argentina,2020-02-08,100,,0.0,0.0,0.0
Argentina,2020-02-08,12,17.0,0.0,0.0,0.0
Argentina,2020-02-08,18,29.0,0.0,0.0,0.0
Argentina,2020-02-08,3,11.0,0.0,0.0,0.0
Argentina,2020-02-08,30,39.0,0.0,0.0,0.0
Argentina,2020-02-08,40,49.0,0.0,0.0,0.0
Argentina,2020-02-08,50,59.0,0.0,0.0,0.0
Argentina,2020-02-08,60,69.0,0.0,0.0,0.0
Argentina,2020-02-08,70,79.0,0.0,0.0,0.0
Argentina,2020-02-08,80,89.0,0.0,0.0,0.0
Argentina,2020-02-08,90,99.0,0.0,0.0,0.0
Argentina,2020-02-09,100,,0.0,0.0,0.0
Argentina,2020-02-09,12,17.0,0.0,0.0,0.0
Argentina,2020-02-09,18,29.0,0.0,0.0,0.0
Argentina,2020-02-09,3,11.0,0.0,0.0,0.0
Argentina,2020-02-09,30,39.0,0.0,0.0,0.0
Argentina,2020-02-09,40,49.0,0.0,0.0,0.0
Argentina,2020-02-09,50,59.0,0.0,0.0,0.0
Argentina,2020-02-09,60,69.0,0.0,0.0,0.0
Argentina,2020-02-09,70,79.0,0.0,0.0,0.0
Argentina,2020-02-09,80,89.0,0.0,0.0,0.0
Argentina,2020-02-09,90,99.0,0.0,0.0,0.0
Argentina,2020-02-10,100,,0.0,0.0,0.0
Argentina,2020-02-10,12,17.0,0.0,0.0,0.0
Argentina,2020-02-10,18,29.0,0.0,0.0,0.0
Argentina,2020-02-10,3,11.0,0.0,0.0,0.0
Argentina,2020-02-10,30,39.0,0.0,0.0,0.0
Argentina,2020-02-10,40,49.0,0.0,0.0,0.0
Argentina,2020-02-10,50,59.0,0.0,0.0,0.0
Argentina,2020-02-10,60,69.0,0.0,0.0,0.0
Argentina,2020-02-10,70,79.0,0.0,0.0,0.0
Argentina,2020-02-10,80,89.0,0.0,0.0,0.0
Argentina,2020-02-10,90,99.0,0.0,0.0,0.0
Argentina,2020-02-11,100,,0.0,0.0,0.0
Argentina,2020-02-11,12,17.0,0.0,0.0,0.0
Argentina,2020-02-11,18,29.0,0.0,0.0,0.0
Argentina,2020-02-11,3,11.0,0.0,0.0,0.0
Argentina,2020-02-11,30,39.0,0.0,0.0,0.0
Argentina,2020-02-11,40,49.0,0.0,0.0,0.0
Argentina,2020-02-11,50,59.0,0.0,0.0,0.0
Argentina,2020-02-11,60,69.0,0.0,0.0,0.0
Argentina,2020-02-11,70,79.0,0.0,0.0,0.0
Argentina,2020-02-11,80,89.0,0.0,0.0,0.0
Argentina,2020-02-11,90,99.0,0.0,0.0,0.0
Argentina,2020-02-12,100,,0.0,0.0,0.0
Argentina,2020-02-12,12,17.0,0.0,0.0,0.0
Argentina,2020-02-12,18,29.0,0.0,0.0,0.0
Argentina,2020-02-12,3,11.0,0.0,0.0,0.0
