Notes,ICD Sub-Chapter,ICD Sub-Chapter Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with other pedal cycle, person injured while boarding or alighting",V11.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with other pedal cycle, driver injured in traffic accident",V11.4,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with other pedal cycle, passenger injured in traffic accident",V11.5,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with other pedal cycle, unspecified pedal cyclist injured in traffic accident",V11.9,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with two- or three-wheeled motor vehicle, driver injured in nontraffic accident",V12.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with two- or three-wheeled motor vehicle, passenger injured in nontraffic accident",V12.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with two- or three-wheeled motor vehicle, unspecified pedal cyclist injured in nontraffic accident",V12.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with two- or three-wheeled motor vehicle, person injured while boarding or alighting",V12.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with two- or three-wheeled motor vehicle, driver injured in traffic accident",V12.4,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with two- or three-wheeled motor vehicle, passenger injured in traffic accident",V12.5,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with two- or three-wheeled motor vehicle, unspecified pedal cyclist injured in traffic accident",V12.9,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with car, pick-up truck or van, driver injured in nontraffic accident",V13.0,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with car, pick-up truck or van, passenger injured in nontraffic accident",V13.1,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with car, pick-up truck or van, unspecified pedal cyclist injured in nontraffic accident",V13.2,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with car, pick-up truck or van, person injured while boarding or alighting",V13.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with car, pick-up truck or van, driver injured in traffic accident",V13.4,179,334914895,0.1
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with car, pick-up truck or van, passenger injured in traffic accident",V13.5,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with car, pick-up truck or van, unspecified pedal cyclist injured in traffic accident",V13.9,245,334914895,0.1
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with heavy transport vehicle or bus, driver injured in nontraffic accident",V14.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with heavy transport vehicle or bus, passenger injured in nontraffic accident",V14.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with heavy transport vehicle or bus, unspecified pedal cyclist injured in nontraffic accident",V14.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with heavy transport vehicle or bus, person injured while boarding or alighting",V14.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with heavy transport vehicle or bus, driver injured in traffic accident",V14.4,21,334914895,0
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with heavy transport vehicle or bus, passenger injured in traffic accident",V14.5,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with heavy transport vehicle or bus, unspecified pedal cyclist injured in traffic accident",V14.9,16,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with railway train or railway vehicle, driver injured in nontraffic accident",V15.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with railway train or railway vehicle, passenger injured in nontraffic accident",V15.1,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with railway train or railway vehicle, unspecified pedal cyclist injured in nontraffic accident",V15.2,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with railway train or railway vehicle, person injured while boarding or alighting",V15.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with railway train or railway vehicle, driver injured in traffic accident",V15.4,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with railway train or railway vehicle, passenger injured in traffic accident",V15.5,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with railway train or railway vehicle, unspecified pedal cyclist injured in traffic accident",V15.9,10,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with other nonmotor vehicle, driver injured in nontraffic accident",V16.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with other nonmotor vehicle, passenger injured in nontraffic accident",V16.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with other nonmotor vehicle, unspecified pedal cyclist injured in nontraffic accident",V16.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with other nonmotor vehicle, person injured while boarding or alighting",V16.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with other nonmotor vehicle, driver injured in traffic accident",V16.4,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with other nonmotor vehicle, passenger injured in traffic accident",V16.5,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with other nonmotor vehicle, unspecified pedal cyclist injured in traffic accident",V16.9,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with fixed or stationary object, driver injured in nontraffic accident",V17.0,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with fixed or stationary object, passenger injured in nontraffic accident",V17.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with fixed or stationary object, unspecified pedal cyclist injured in nontraffic accident",V17.2,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with fixed or stationary object, person injured while boarding or alighting",V17.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with fixed or stationary object, driver injured in traffic accident",V17.4,14,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with fixed or stationary object, passenger injured in traffic accident",V17.5,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in collision with fixed or stationary object, unspecified pedal cyclist injured in traffic accident",V17.9,12,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in noncollision transport accident, driver injured in nontraffic accident",V18.0,11,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in noncollision transport accident, passenger injured in nontraffic accident",V18.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in noncollision transport accident, unspecified pedal cyclist injured in nontraffic accident",V18.2,10,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in noncollision transport accident, person injured while boarding or alighting",V18.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in noncollision transport accident, driver injured in traffic accident",V18.4,67,334914895,0
,Transport accidents,V01-V99,"Pedal cyclist injured in noncollision transport accident, passenger injured in traffic accident",V18.5,0,334914895,Unreliable
,Transport accidents,V01-V99,"Pedal cyclist injured in noncollision transport accident, unspecified pedal cyclist injured in traffic accident",V18.9,65,334914895,0
,Transport accidents,V01-V99,Driver injured in collision with other and unspecified motor vehicles in nontraffic accident,V19.0,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident,V19.1,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,Unspecified pedal cyclist injured in collision with other and unspecified motor vehicles in nontraffic accident,V19.2,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,Pedal cyclist [any] injured in unspecified nontraffic accident,V19.3,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,Driver injured in collision with other and unspecified motor vehicles in traffic accident,V19.4,293,334914895,0.1
,Transport accidents,V01-V99,Passenger injured in collision with other and unspecified motor vehicles in traffic accident,V19.5,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,Unspecified pedal cyclist injured in collision with other and unspecified motor vehicles in traffic accident,V19.6,168,334914895,0.1
,Transport accidents,V01-V99,Pedal cyclist [any] injured in other specified transport accidents,V19.8,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,Pedal cyclist [any] injured in unspecified traffic accident,V19.9,213,334914895,0.1
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with pedestrian or animal, driver injured in nontraffic accident",V20.0,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with pedestrian or animal, passenger injured in nontraffic accident",V20.1,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with pedestrian or animal, unspecified motorcycle rider injured in nontraffic accident",V20.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with pedestrian or animal, person injured while boarding or alighting",V20.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with pedestrian or animal, driver injured in traffic accident",V20.4,93,334914895,0
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with pedestrian or animal, passenger injured in traffic accident",V20.5,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with pedestrian or animal, unspecified motorcycle rider injured in traffic accident",V20.9,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with pedal cycle, driver injured in nontraffic accident",V21.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with pedal cycle, passenger injured in nontraffic accident",V21.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with pedal cycle, unspecified motorcycle rider injured in nontraffic accident",V21.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with pedal cycle, person injured while boarding or alighting",V21.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with pedal cycle, driver injured in traffic accident",V21.4,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with pedal cycle, passenger injured in traffic accident",V21.5,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with pedal cycle, unspecified motorcycle rider injured in traffic accident",V21.9,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with two- or three-wheeled motor vehicle, driver injured in nontraffic accident",V22.0,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with two- or three-wheeled motor vehicle, passenger injured in nontraffic accident",V22.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with two- or three-wheeled motor vehicle, unspecified motorcycle rider injured in nontraffic accident",V22.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with two- or three-wheeled motor vehicle, person injured while boarding or alighting",V22.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with two- or three-wheeled motor vehicle, driver injured in traffic accident",V22.4,47,334914895,0
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with two- or three-wheeled motor vehicle, passenger injured in traffic accident",V22.5,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with two- or three-wheeled motor vehicle, unspecified motorcycle rider injured in traffic accident",V22.9,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in nontraffic accident",V23.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with car, pick-up truck or van, passenger injured in nontraffic accident",V23.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with car, pick-up truck or van, unspecified motorcycle rider injured in nontraffic accident",V23.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with car, pick-up truck or van, person injured while boarding or alighting",V23.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident",V23.4,1058,334914895,0.3
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with car, pick-up truck or van, passenger injured in traffic accident",V23.5,64,334914895,0
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with car, pick-up truck or van, unspecified motorcycle rider injured in traffic accident",V23.9,90,334914895,0
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with heavy transport vehicle or bus, driver injured in nontraffic accident",V24.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with heavy transport vehicle or bus, passenger injured in nontraffic accident",V24.1,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with heavy transport vehicle or bus, unspecified motorcycle rider injured in nontraffic accident",V24.2,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with heavy transport vehicle or bus, person injured while boarding or alighting",V24.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with heavy transport vehicle or bus, driver injured in traffic accident",V24.4,117,334914895,0
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with heavy transport vehicle or bus, passenger injured in traffic accident",V24.5,10,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with heavy transport vehicle or bus, unspecified motorcycle rider injured in traffic accident",V24.9,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with railway train or railway vehicle, driver injured in nontraffic accident",V25.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with railway train or railway vehicle, passenger injured in nontraffic accident",V25.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with railway train or railway vehicle, unspecified motorcycle rider injured in nontraffic accident",V25.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with railway train or railway vehicle, person injured while boarding or alighting",V25.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with railway train or railway vehicle, driver injured in traffic accident",V25.4,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with railway train or railway vehicle, passenger injured in traffic accident",V25.5,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with railway train or railway vehicle, unspecified motorcycle rider injured in traffic accident",V25.9,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with other nonmotor vehicle, driver injured in nontraffic accident",V26.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with other nonmotor vehicle, passenger injured in nontraffic accident",V26.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with other nonmotor vehicle, unspecified motorcycle rider injured in nontraffic accident",V26.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with other nonmotor vehicle, person injured while boarding or alighting",V26.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with other nonmotor vehicle, driver injured in traffic accident",V26.4,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with other nonmotor vehicle, passenger injured in traffic accident",V26.5,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with other nonmotor vehicle, unspecified motorcycle rider injured in traffic accident",V26.9,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with fixed or stationary object, driver injured in nontraffic accident",V27.0,10,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with fixed or stationary object, passenger injured in nontraffic accident",V27.1,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider injured in nontraffic accident",V27.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with fixed or stationary object, person injured while boarding or alighting",V27.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident",V27.4,553,334914895,0.2
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with fixed or stationary object, passenger injured in traffic accident",V27.5,19,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider injured in traffic accident",V27.9,41,334914895,0
,Transport accidents,V01-V99,"Motorcycle rider injured in noncollision transport accident, driver injured in nontraffic accident",V28.0,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Motorcycle rider injured in noncollision transport accident, passenger injured in nontraffic accident",V28.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider injured in nontraffic accident",V28.2,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,"Motorcycle rider injured in noncollision transport accident, person injured while boarding or alighting",V28.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Motorcycle rider injured in noncollision transport accident, driver injured in traffic accident",V28.4,485,334914895,0.1
,Transport accidents,V01-V99,"Motorcycle rider injured in noncollision transport accident, passenger injured in traffic accident",V28.5,31,334914895,0
,Transport accidents,V01-V99,"Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider injured in traffic accident",V28.9,55,334914895,0
,Transport accidents,V01-V99,Driver injured in collision with other and unspecified motor vehicles in nontraffic accident,V29.0,17,334914895,Unreliable
,Transport accidents,V01-V99,Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident,V29.1,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in nontraffic accident,V29.2,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,Motorcycle rider [any] injured in unspecified nontraffic accident,V29.3,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,Driver injured in collision with other and unspecified motor vehicles in traffic accident,V29.4,1529,334914895,0.5
,Transport accidents,V01-V99,Passenger injured in collision with other and unspecified motor vehicles in traffic accident,V29.5,69,334914895,0
,Transport accidents,V01-V99,Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in traffic accident,V29.6,49,334914895,0
,Transport accidents,V01-V99,Motorcycle rider [any] injured in other specified transport accidents,V29.8,Suppressed,334914895,Suppressed
,Transport accidents,V01-V99,Motorcycle rider [any] injured in unspecified traffic accident,V29.9,1636,334914895,0.5
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal, driver injured in nontraffic accident",V30.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal, passenger injured in nontraffic accident",V30.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal, person on outside of vehicle injured in nontraffic accident",V30.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal, unspecified occupant of three-wheeled motor vehicle injured in nontraffic accident",V30.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal, person injured while boarding or alighting",V30.4,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal, driver injured in traffic accident",V30.5,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal, passenger injured in traffic accident",V30.6,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal, person on outside of vehicle injured in traffic accident",V30.7,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal, unspecified occupant of three-wheeled motor vehicle injured in traffic accident",V30.9,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with pedal cycle, driver injured in nontraffic accident",V31.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with pedal cycle, passenger injured in nontraffic accident",V31.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with pedal cycle, person on outside of vehicle injured in nontraffic accident",V31.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with pedal cycle, unspecified occupant of three-wheeled motor vehicle injured in nontraffic accident",V31.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with pedal cycle, person injured while boarding or alighting",V31.4,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with pedal cycle, driver injured in traffic accident",V31.5,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with pedal cycle, passenger injured in traffic accident",V31.6,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with pedal cycle, person on outside of vehicle injured in traffic accident",V31.7,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with pedal cycle, unspecified occupant of three-wheeled motor vehicle injured in traffic accident",V31.9,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle, driver injured in nontraffic accident",V32.0,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle, passenger injured in nontraffic accident",V32.1,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle, person on outside of vehicle injured in nontraffic accident",V32.2,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle, unspecified occupant of three-wheeled motor vehicle injured in nontraffic accident",V32.3,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle, person injured while boarding or alighting",V32.4,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle, driver injured in traffic accident",V32.5,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle, passenger injured in traffic accident",V32.6,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle, person on outside of vehicle injured in traffic accident",V32.7,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle, unspecified occupant of three-wheeled motor vehicle injured in traffic accident",V32.9,0,334914895,Unreliable
,Transport accidents,V01-V99,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van, driver injured in nontraffic accident",V33.0,0,334914895,Unreliable
