dataset,element_code,fao_element,owid_element,fao_unit,fao_unit_short_name,owid_unit,owid_unit_short_name,owid_unit_factor,fao_element_description,owid_element_description,owid_aggregation,was_per_capita,make_per_capita
faostat_qcl,005513,Production,Production,thousand Number,1000 No,thousand Number,1000 No,1000.0,"Figures relate to the total domestic production whether inside or outside the agricultural sector, i.e. it includes non-commercial production and production from kitchen gardens. Unless otherwise indicated, production is reported at the farm level for crop and livestock products (i.e. in the case of crops, excluding harvesting losses) and in terms of live weight for fish items (i.e. the actual ex-water weight at the time of the catch). All data shown relate to total meat production from both commercial and farm slaughter. Data are expressed in terms of dressed carcass weight, excluding offal and slaughter fats. Production of beef and buffalo meat includes veal; mutton and goat meat includes meat from lambs and kids; pig meat includes bacon and ham in fresh equivalent. Poultry meat includes meat from all domestic birds and refers, wherever possible, to ready-to-cook weight. Source: FAO Statistics Division","Total domestic production whether inside or outside the agricultural sector, i.e. it includes non-commercial production and production from kitchen gardens. Unless otherwise indicated, production is reported at the farm level for crop and livestock products (i.e. in the case of crops, excluding harvesting losses) and in terms of live weight for fish items (i.e. the actual ex-water weight at the time of the catch). All data shown relate to total meat production from both commercial and farm slaughter. Data are expressed in terms of dressed carcass weight, excluding offal and slaughter fats. Production of beef and buffalo meat includes veal; mutton and goat meat includes meat from lambs and kids; pig meat includes bacon and ham in fresh equivalent. Poultry meat includes meat from all domestic birds and refers, wherever possible, to ready-to-cook weight. Source: FAO Statistics Division.",sum,0,0
faostat_qcl,005510,Production,Production,Tonnes,t,Tonnes,t,,Amount produced in the year,Amount produced in the year.,sum,0,1
faostat_fbsc,000674,Protein supply quantity (g/capita/day),Protein supply quantity (g/capita/day),Grams per capita per day,g/cap/d,Grams per capita per day,g/cap/d,,,,sum,1,1
faostat_fbsc,005170,Residuals,Residuals,thousand Tonnes,1000 t,thousand Tonnes,1000 t,1000.0,It is defined as the imbalance (positive or negative) in the supply and utilization equation. It occures mainly due to the inconsitencies of national data provided by countries.,It is defined as the imbalance (positive or negative) in the supply and utilization equation. It occures mainly due to the inconsitencies of national data provided by countries.,sum,0,0
faostat_fbsc,005527,Seed,Seed,thousand Tonnes,1000 t,thousand Tonnes,1000 t,1000.0,"Data include the amounts of the commodity in question set aside for sowing or planting (or generally for reproduction purposes, e.g. sugar cane planted, potatoes for seed, eggs for hatching and fish for bait, whether domestically produced or imported) during the reference period. Account is taken of double or successive sowing or planting whenever it occurs. The data of seed include also, when it is the case, the quantities necessary for sowing or planting the area relating to crops harvested green for fodder or for food.(e.g. green peas, green beans, maize for forage)  Data for seed element are stored in tonnes (t). Whenever official data were not available, seed figures have been estimated either as a percentage of supply (e.g. eggs for hatching) or by multiplying a seed rate with the area under the crop of the subsequent year. Source: FAO. 1986. The ICS users' manual. Interlinked computer strorage and processing system of food and agricultural commodity data. Rome.","Data include the amounts of the commodity in question set aside for sowing or planting (or generally for reproduction purposes, e.g. sugar cane planted, potatoes for seed, eggs for hatching and fish for bait, whether domestically produced or imported) during the reference period. Account is taken of double or successive sowing or planting whenever it occurs. The data of seed include also, when it is the case, the quantities necessary for sowing or planting the area relating to crops harvested green for fodder or for food.(e.g. green peas, green beans, maize for forage)  Data for seed element are stored in tonnes (t). Whenever official data were not available, seed figures have been estimated either as a percentage of supply (e.g. eggs for hatching) or by multiplying a seed rate with the area under the crop of the subsequent year. Source: FAO. 1986. The ICS users' manual. Interlinked computer strorage and processing system of food and agricultural commodity data. Rome.",sum,0,0
faostat_fbsc,005072,Stock Variation,Stock Variation,thousand Tonnes,1000 t,thousand Tonnes,1000 t,1000.0,"Comprises changes in stocks occurring during the reference period at all levels between the production and the retail levels, i.e. it comprises changes in government stocks, in stocks with manufacturers, importers, exporters, other wholesale and retail merchants, transport and storage enterprises and in stocks on farms. In actual fact, however, the information available often relates only to stocks held by governments and even these are not available for a number of countries and important commodities. In the absence of information on opening and closing stocks changes in stocks are also used for shifting production from the calendar year in which it is harvested to the year in which it is consumed. Net decreases (from stock) are generally indicated by the sign ""-"". No sign denotes net increases (add to stock). Source: FAO Statistics Division","Comprises changes in stocks occurring during the reference period at all levels between the production and the retail levels, i.e. it comprises changes in government stocks, in stocks with manufacturers, importers, exporters, other wholesale and retail merchants, transport and storage enterprises and in stocks on farms. In actual fact, however, the information available often relates only to stocks held by governments and even these are not available for a number of countries and important commodities. In the absence of information on opening and closing stocks changes in stocks are also used for shifting production from the calendar year in which it is harvested to the year in which it is consumed. Net decreases (from stock) are generally indicated by the sign ""-"". No sign denotes net increases (add to stock). Source: FAO Statistics Division",sum,0,0
faostat_qcl,005112,Stocks,Stocks,thousand Animals,1000 An,thousand Animals,1000 An,1000.0,"This variable indicates the number of animals of the species present in the country at the time of enumeration. It includes animals raised either for draft purposes or for meat, eggs and dairy production or kept for breeding. Live animals in captivity for fur or skin such as foxes, minks etc. are not included in the system although furskin trade is reported. The enumeration to be chosen, when more than one survey is taken, is the closest to the beginning of the calendar year. Livestock data are reported in number of heads (units) except for poultry, rabbits and other rodents which are reported in thousand units. Source: FAO Statistics Division","Number of animals of the species present in the country at the time of enumeration. It includes animals raised either for draft purposes or for meat, eggs and dairy production or kept for breeding. Live animals in captivity for fur or skin such as foxes, minks etc. are not included in the system although furskin trade is reported. The enumeration to be chosen, when more than one survey is taken, is the closest to the beginning of the calendar year. Livestock data are reported in number of heads (units) except for poultry, rabbits and other rodents which are reported in thousand units. Source: FAO Statistics Division.",sum,0,0
faostat_qcl,005111,Stocks,Stocks,Animals,An,Animals,An,,"This variable indicates the number of animals of the species present in the country at the time of enumeration. It includes animals raised either for draft purposes or for meat, eggs and dairy production or kept for breeding. Live animals in captivity for fur or skin such as foxes, minks etc. are not included in the system although furskin trade is reported. The enumeration to be chosen, when more than one survey is taken, is the closest to the beginning of the calendar year. Livestock data are reported in number of heads (units) except for poultry, rabbits and other rodents which are reported in thousand units. Source: FAO Statistics Division","Number of animals of the species present in the country at the time of enumeration. It includes animals raised either for draft purposes or for meat, eggs and dairy production or kept for breeding. Live animals in captivity for fur or skin such as foxes, minks etc. are not included in the system although furskin trade is reported. The enumeration to be chosen, when more than one survey is taken, is the closest to the beginning of the calendar year. Livestock data are reported in number of heads (units) except for poultry, rabbits and other rodents which are reported in thousand units. Source: FAO Statistics Division.",sum,0,0
faostat_fbsc,005171,Tourist consumption,Tourist consumption,thousand Tonnes,1000 t,thousand Tonnes,1000 t,1000.0,,,sum,0,0
faostat_qcl,005412,Yield,Yield,Kilograms per hectare,kg/ha,Kilograms per hectare,kg/ha,0.001,,,,0,0
faostat_qcl,005417,Yield/Carcass Weight,Yield/Carcass Weight,Kilograms per animal,kg/An,Kilograms per animal,kg/An,0.1,,,,0,0
faostat_qcl,005424,Yield/Carcass Weight,Yield/Carcass Weight,Grams per animal,g/An,Grams per animal,g/An,0.0001,,,,0,0
