item_code,dataset,fao_item,owid_item,fao_item_description,owid_item_description
00002734,faostat_fbsc,Poultry Meat,"Meat, poultry","Default composition: 1058 Meat, chicken, 1060 Fat, liver prepared (foie gras), 1061 Meat, chicken, canned, 1069 Meat, duck, 1073 Meat, goose and guinea fowl, 1080 Meat, turkey",
00002736,faostat_fbsc,"Offals, Edible",Offals,"Default composition: 868 Offals, edible, cattle, 878 Liver prep., 948 Offals, edible, buffaloes, 978 Offals, sheep,edible, 1018 Offals, edible, goats, 1036 Offals, pigs, edible, 1059 Offals, liver chicken, 1074 Offals, liver geese, 1075 Offals, liver duck, 1081 Offals, liver turkeys, 1098 Offals, horses, 1128 Offals, edible, camels, 1159 Offals, other camelids, 1167 Offals, nes",
00002737,faostat_fbsc,"Fats, Animals, Raw",Animal fats,"Default composition: 869 Fat, cattle, 871 Fat, cattle butcher, 949 Fat, buffaloes, 979 Fat, sheep, 994 Grease incl. lanolin wool, 1019 Fat, goats, 1037 Fat, pigs, 1040 Fat, pig butcher, 1043 Lard, 1065 Fat, poultry, 1066 Fat, poultry, rendered, 1129 Fat, camels, 1160 Fat, other camelids, 1168 Oils, fats of animal nes, 1221 Lard stearine oil, 1222 Degras, 1225 Tallow, 1243 Fat, nes, prepared",
00002807,faostat_fbsc,Rice and products,Rice,"Default composition: 27 Rice, paddy, 28 Rice, husked, 29 Rice, milled/husked, 31 Rice, milled, 32 Rice, broken, 33 Gluten, rice, 34 Starch, rice, 35 Bran, rice, 38 Flour, rice",
00000027,faostat_qcl,"Rice, paddy",Rice,"Oryza spp., mainly oryza sativa. Rice grain after threshing and winnowing. Also known as rice in the husk and rough rice. Used mainly for human food.",
00000060,faostat_qcl,"Oil, maize",Maize oil,Extracted from germ by pressure or by solvents.,
00000103,faostat_qcl,"Grain, mixed",Mixed grains,"A mixture of cereal species that are sown and harvested together. The mixture wheat/rye is known as meslin, but in trade is usually classified with wheat.",
00000162,faostat_qcl,Sugar Raw Centrifugal,Sugar (raw),The sum of codes 158 and 159. Processed further to obtain refined sugar.,
00000181,faostat_qcl,"Broad beans, horse beans, dry",Broad beans,Vicia faba: horse-bean (var. equina); broad bean (var. major); field bean (var. minor).,
00000191,faostat_qcl,Chick peas,Chickpeas,"Chickpea, Bengal gram, garbanzos (Cicer arietinum).",
00000195,faostat_qcl,"Cow peas, dry",Cow peas,"Cowpea, blackeye pea/bean (Vigna sinensis; Dolichos sinensis).",
00000217,faostat_qcl,"Cashew nuts, with shell",Cashew nuts,"Anacardium occidentale. Produced mainly in East Africa, India and Brazil.",
00000221,faostat_qcl,"Almonds, with shell",Almonds,"Prunus amygdalus; P. communis; Amygdalus communis. Produced mainly in Mediterranean countries, the United States and Asia.",
00000222,faostat_qcl,"Walnuts, with shell",Walnuts,"Jugland spp.: J. regia. Produced in temperate zones of the Northern Hemisphere, particularly in the United States.",
00000225,faostat_qcl,"Hazelnuts, with shell",Hazelnuts,Corylus avellana. Produced mainly in Mediterranean countries and the United States.,
00000237,faostat_qcl,"Oil, soybean",Soybean oil,Obtained by solvent extraction from the beans. Used mainly for food.,
00000242,faostat_qcl,"Groundnuts, with shell",Groundnuts,"Arachis hypogaea. For trade data, groundnuts in shell are converted at 70% and reported on a shelled basis.",
00000244,faostat_qcl,"Oil, groundnut",Groundnut oil,Obtained by pressure or solvent extraction. Used mainly for food.,
00000252,faostat_qcl,"Oil, coconut (copra)",Coconut oil,Obtained by pressure from copra and by solvent from the residues of pressure extraction. Has both food and industrial uses.,
00000254,faostat_qcl,Oil palm fruit,Palm fruit oil,"Elaeis guineensis. The oil palm produces bunches containing a large number of fruits with the fleshy mesocarp enclosing a kernel that is covered by a very hard shell. FAO considers palm oil (coming from the pulp) and palm kernels to be primary products. The oil extraction rate from a bunch varies from 17 to 27% for palm oil, and from 4 to 10% for palm kernels.",
00000257,faostat_qcl,"Oil, palm",Palm oil,"Obtained from the mesocarp of the fruit of the oil palm by pressure, and also by solvent from the residues of the pressure extraction.",
00000258,faostat_qcl,"Oil, palm kernel",Palm kernel oil,Obtained from the kernel of the nut of the fruits of the oil palm by pressure in two or three stages at different temperatures. Including oil of babassu kernels.,
00000261,faostat_qcl,"Oil, olive, virgin",Olive oil,Obtained from olives by mechanical or other physical means. Olive oil is the only vegetable oil that can be consumed without refining.,
00000263,faostat_qcl,Karite nuts (sheanuts),Karite nuts,Butyrospermum parkii. Production data refer only to the nut contained in the fruit although the pulp around the nut is also edible.,
00000268,faostat_qcl,"Oil, sunflower",Sunflower oil,Obtained by pressure extraction. Mainly for food use.,
00000271,faostat_qcl,"Oil, rapeseed",Rapeseed oil,Obtained by pressure extraction for food use. Oil recovered with solvent from the residues of the pressure extraction is used for industrial purposes. Canola oil is produced from new varieties of rapeseed.,
00000281,faostat_qcl,"Oil, safflower",Safflower oil,Obtained either by pressure or by solvent. Has both food and industrial uses.,
00000290,faostat_qcl,"Oil, sesame",Sesame oil,Obtained by pressure extraction in two or three stages at different temperatures. Sometimes the oil is also extracted by solvent from the residue of the pressure extraction. Used mainly for food.,
00000296,faostat_qcl,Poppy seed,Poppy seeds,"Papaver somniferum. The source of opium, poppy seeds are also used in baking and confectionery.",
00000331,faostat_qcl,"Oil, cottonseed",Cottonseed oil,Obtained first by pressure extraction from the kernels of cotton seeds. The residue from this process is then exposed to a solvent. Used mainly as a food.,
00000334,faostat_qcl,"Oil, linseed",Linseed oil,Obtained by pressure extraction. Used mainly in non-food items.,
00000358,faostat_qcl,Cabbages and other brassicas,Cabbages,"Chinese, mustard cabbage, pak-choi (Brassica chinensis); white, red, savoy cabbage, Brussels sprouts, collards, kale and kohlrabi (Brassica oleracea all var. except botrytis).",
00000372,faostat_qcl,Lettuce and chicory,Lettuce,Lactuca sativa; witloof chicory (Cichorium intybus var. foliosum); endive (C. endivia var. crispa); escarole chicory (C. endivia var. latifolia).,
00000399,faostat_qcl,Eggplants (aubergines),Eggplants,Solanum melongena. Also called aubergines.,
00000403,faostat_qcl,"Onions, dry",Onions,"Allium cepa. Includes onions at a mature stage, but not dehydrated onions.",
00000407,faostat_qcl,"Leeks, other alliaceous vegetables",Leeks,"Leeks (Allium porrum); chives (A. schoenoprasum); other alliac. (Allium varieties except those of 402, 403 and 406).",
00000446,faostat_qcl,"Maize, green",Green maize,"Zea mays, particularly var. saccharata. Maize harvested green for food. Saccharata variety is commonly known as sweet corn.",
00000449,faostat_qcl,Mushrooms and truffles,Mushrooms,Including inter alia: Boletus edulis; Agaricus campestris; Morchella spp. and Tuber magnatum. Cultivated or spontaneous. Includes truffles.,
00000489,faostat_qcl,Plantains and others,Plantains,Musa paradisiaca. Generally known as a cooking banana. Data should be reported excluding the weight of the central stalk.,
00000495,faostat_qcl,"Tangerines, mandarins, clementines, satsumas",Tangerines,"Mandarin, tangerine (Citrus reticulata); clementine, satsuma (C. unshiu).",
00000507,faostat_qcl,Grapefruit (inc. pomelos),Grapefruit,Citrus maxima; C. grandis; C. paradisi.,
00000536,faostat_qcl,Plums and sloes,Plums,"Greengage, mirabelle, damson (Prunus domestica); sloe (P. spinosa).",
00000568,faostat_qcl,"Melons, other (inc.cantaloupes)",Melon,Cucumis melo;.,
00000571,faostat_qcl,"Mangoes, mangosteens, guavas",Mangoes,"Mangifera indica. Trade figures may include dried mangoes, guavas and mangosteens, including both fresh and dried.",
00000592,faostat_qcl,Kiwi fruit,Kiwi,Actinidia chinensis.,
00000687,faostat_qcl,Pepper (piper spp.),Pepper,"Black, white pepper (Piper nigrum); long pepper (P. longum). Perennial climbing vines. Includes whole, crushed or ground berries. Black pepper is produced from partially ripe berries, while white pepper is from fully ripe berries which have had the outer hull removed.",
00000689,faostat_qcl,"Chillies and peppers, dry",Chillies and peppers,"Red and cayenne pepper, paprika, chillies (Capsicum frutescens; C. annuum); allspice, Jamaica pepper (Pimenta officinalis). Uncrushed or unground fresh pimentos are considered to be vegetables.",
00000711,faostat_qcl,"Anise, badian, fennel, coriander",Herbs (e.g. fennel),"Include: anise (Pimpinella anisum); badian or star anise (Illicium verum); caraway (Carum carvi); coriander (Coriandrum sativum); cumin (Cuminum cyminum); fennel (Foeniculum vulgare); juniper berries (Juniperus communis). Seeds and berries from the various plants listed. They are normally used as spices, but also have industrial (e.g. in distilleries) and medicinal applications.",
00000767,faostat_qcl,Cotton lint,Cotton,"Gossypium spp. Fibres from ginning seed cotton that have not been carded or combed. Trade data also include fibres that have been cleaned, bleached, dyed or rendered absorbent.",
00000773,faostat_qcl,Flax fibre and tow,Flax fibre,"Broken, scutched, hackled etc. but not spun. Traditionally, FAO has used this commodity to identify production in its raw state; in reality, the primary agricultural product is the commodity 771, which can either be used for the production of fibre or for other purposes.",
00000826,faostat_qcl,"Tobacco, unmanufactured",Tobacco,"Nicotiana tabacum. Unmanufactured dry tobacco, including refuse that is not stemmed or stripped, or is partly or wholly stemmed or stripped.",
00000868,faostat_qcl,"Offals, edible, cattle","Offals, cattle","Fresh, chilled or frozen.",
00000900,faostat_qcl,"Whey, dry",Whey,Used in both food and animal feed.,
00000919,faostat_qcl,"Hides, cattle, fresh",Cattle hides,Green hide or skin as removed from the carcass of the animal (adult bovine). Used for production data only.,
00000948,faostat_qcl,"Offals, edible, buffaloes","Offals, buffaloes","Fresh, chilled or frozen.",
00000957,faostat_qcl,"Hides, buffalo, fresh",Buffalo hides,See 919. Both adult and young animals.,
00000977,faostat_qcl,"Meat, sheep","Meat, lamb and mutton","Meat of sheep and lamb, whether fresh, chilled or frozen, with bone inor boneless.",
00000978,faostat_qcl,"Offals, sheep,edible","Offals, sheep","Fresh, chilled or frozen.",
00000987,faostat_qcl,"Wool, greasy",Wool,"A natural fibre taken from sheep or lambs. Includes fleece-washed, shorn and pulled wool (from slaughtered animals), but does not include carded or combed wool.",
00000995,faostat_qcl,"Skins, sheep, fresh","Skins, sheep",See 919. Both adult and young animals.,
00001018,faostat_qcl,"Offals, edible, goats","Offals, goats","Fresh, chilled or frozen.",
00001025,faostat_qcl,"Skins, goat, fresh","Skins, goat",See 919. Both adult and young animals.,
00001036,faostat_qcl,"Offals, pigs, edible","Offals, pigs","Fresh, chilled or frozen.",
00001062,faostat_qcl,"Eggs, hen, in shell",Eggs from hens,Weight in shell.,
00001091,faostat_qcl,"Eggs, other bird, in shell",Eggs from other birds (excl. hens),Weight in shell.,
00001128,faostat_qcl,"Offals, edible, camels","Offals, camels","Fresh, chilled or frozen.",
00001140,faostat_qcl,Rabbits and hares,Rabbits,Oryctolagus cuniculus. See 866. May include domesticated hares (Lepus spp.). Data are expressed in thousands.,
00001182,faostat_qcl,"Honey, natural",Honey,Honey produced by bees (Apis mellifera) or by other insects.,
00001186,faostat_qcl,"Silk, raw",Silk,Obtained by reeling the filaments from cocoons. Not thrown.,
00001242,faostat_qcl,"Margarine, short",Margarine,"Margarine is made principally from one or more hydrogenated vegetable or animal fats or oils in which is dispersed an aqueous potion containing milk products, salt, flavouring agents and other additives. Shortening is a product similar to margarine, but with a higher animal fat content. Shortening and compound fats are used primarily for baking and frying. The fat content of margarine and shortening varies from 70 to 90%.",
00001717,faostat_qcl,"Cereals, Total",Cereals,"Cereals are generally of the gramineous family and, in the FAO concept, refer to crops harvested for dry grain only. Crops harvested green for forage, silage or grazingare classified as fodder crops. Also excluded are industrial crops, e.g. broom sorghum (Crude organic materials nes) and sweet sorghum when grown for syrup (Sugar crops nes). For international trade classifications, fresh cereals (other than sweet corn), whether or not suitable for use as fresh vegetables, are classified as cereals. Cereals are identified according to their genus. However, when two or more genera are sown and harvested as a mixture they should be classified and reported as ""mixed grains"". Production data are reported in terms of clean, dry weight of grains (12-14 percent moisture) in the form usually marketed. Rice, however, is reported in terms of paddy. Apart from moisture content and inedible substances such as cellulose, cereal grains contain, along with traces of minerals and vitamins, carbohydrates - mainly starches - (comprising 65-75 percent of their total weight), as well as proteins (6-12 percent) and fat (1-5 percent). The FAO definitions cover 17 primary cereals, of which one - white maize - is a component of maize. Each definition is listed along with its code, botanical name or names, and a short description. Cereal products derive either from the processing of grain through one or more mechanical or chemical operations, or from the processing of flour, meal or starch. Each cereal product is listed after the cereal from which it is derived.",
00001720,faostat_qcl,"Roots and Tubers, Total",Roots and tubers,"Roots and Tubers are plants yielding starchy roots, tubers, rhizomes, corms and stems. They are used mainly for human food (as such or in processed form), for animal feed and for manufacturing starch, alcohol and fermented beverages including beer. The denomination ""roots and tubers"" excludes crops which are cultivated mainly for feed (mangolds, swedes) or for processing into sugar (sugar beets), and those classified as ""roots, bulb and tuberous vegetables"" (onions, garlic and beets). It does include starch and the starchy pith and flour obtained from the trunk of the sago palm and the stem of the Abyssinian banana (Musa ensete). Certain root crops, notably bitter cassava, contain toxic substances, particularly in the skins. As a result, certain processes must be undertaken to make the product safe for human consumption. Apart from their high water content (70-80 percent), these crops contain mainly carbohydrates (largely starches that account for 16-24 percent of their total weight) with very little protein and fat (0-2 percent each). Methods of propagating root crops vary. A live potato tuber or seed must be planted but only part of the live yam tuber and a piece of the stalk (not the root) in the case of cassava. Production data of root crops should be reported in terms of clean weight, i.e. free of earth and mud. FAO distinguishes among seven primary root and tuber crops. The code and name of each one appears in the list that follows, along with its botanical name, or names, and a short description. The processed products of roots and tubers are listed together with their parent primary crops.",
00001723,faostat_qcl,Sugar Crops Primary,Sugar crops,"Sugar Crops and Sweeteners and derived products: In addition to providing the source for the manufacture of sugar, SUGAR CROPS are used to produce alcohol and ethanol. In certain countries, sugar cane is eaten raw in minor quantities. It also is used in the preparation of juices and for animal feed. There are two major sugar crops: sugar beets and sugar cane. However, sugar and syrups are also produced from the sap of certain species of maple trees, from sweet sorghum when cultivated explicitly for making syrup and from sugar palm. Sugar beets that are cultivated solely as a fodder crop and red or garden beets that are classified as vegetable crops are excluded from the FAO list of sugar crops. Sugar cane is a perennial grass (replanted at intervals using pieces of the cane stalks) that is cultivated mainly in the tropics. Sugar beet is an annual crop that is propagated by the seeds of the flowers. It is cultivated in cooler climates than sugar cane, mainly above the 35th parallel of the Northern Hemisphere. Both sugar beets and sugar cane have high water content, accounting for about 75 percent of the total weight of the plants. The sugar content of sugar cane ranges from 10 to 15 percent of the total weight, while that of sugar beets is between 13 and 18 percent. The protein and fat content of both beets and cane is almost nil. Production data on sugar beets and sugar cane relate to the harvested crop, free of soil, plant tops and leaves. FAO lists three primary sugar crops. Under the name SWEETENERS, FAO includes products used for sweetening that are derived from sugar crops, cereals, fruits or milk, or that are produced by insects. This category includes a wide variety of monosaccharide (glucose and fructose) and disaccharides (sucrose and saccharose). They exist either in a crystallized state as sugar, or in thick liquid form as syrups. The traditional sources of sugar are sugar cane and sugar beets. But in recent years, ever larger quantities of cereals (mainly maize) have been used to produce sweeteners derived from starch. OTHER DERIVED PRODUCTS. In addition to sugar, molasses is also obtained with various degrees of sugar content. The by-product obtained from the extraction of sugar is called bagasse in the case of sugar cane, and beet pulp in the case of sugar beets.",
00001726,faostat_qcl,"Pulses, Total",Pulses,"Pulses are annual leguminous crops yielding from one to 12 grains or seeds of variable size, shape and color within a pod. They are used for both food and feed. The term ""pulses"" is limited to crops harvested solely for dry grain, thereby excluding crops harvested green for food (green peas, green beans, etc.) which are classified as vegetable crops. Also excluded are those crops used mainly for oil extraction (e.g. soybean and groundnuts) and leguminous crops (e.g. seeds of clover and alfalfa) that are used exclusively for sowing purposes. In addition to their food value, pulses also play an important role in cropping systems because of their ability to produce nitrogen and thereby enrich the soil. Pulses contain carbohydrates, mainly starches (55-65 percent of the total weight); proteins, including essential amino acids (18-25 percent, and much higher than cereals); and fat (1 - 4 percent). The remainder consists of water and inedible substances. Production data should be reported in terms of dry clean weight, excluding the weightof the pods. Certain kinds of pulses can be skinned and partially crushed or split toremove the seed-coat, but the resulting products are still considered raw for classification purposes. FAO covers 11 primary pulses. Each is listed below, along with its code, its botanical name, or names, and a short description. Only two processed products are included in the FAO list, namely flour of pulses and bran of pulses.",
00001729,faostat_qcl,"Treenuts, Total",Treenuts,"Tree NUTS are dry fruits or kernels enclosed in woody shells or hard husks, which in turn are generally covered by a thick, fleshy/fibrous outer husk that is removed during harvest. Similar products, such as groundnuts, sunflower seeds and melon seeds, although often used for similar purposes, are included with oil-bearing crops.FAO includes in this group only dessert or table nuts. Nuts that are used mainly for flavouring beverages and masticatory and stimulant nuts should be excluded. An exception is made for areca nuts and kola nuts, which FAO considers to be inedible nuts, but which are included with the nut and derived products group to be consistent with international trade classifications. Nuts used mainly for the extraction of oil or butter, (e.g. sheanuts) as well as nuts contained in other fruits (e.g. peaches) are excluded. It should be noted that some countries report certain nut crops (chestnuts, pignolia nuts) with forestry products. Production data relate to the weight of nuts in the shell or husk, but without the outer husk. The weight of the kernel contained in the nut ranges from as low as 30 percent for cashew nuts to as high as 80 percent in the case of chestnuts. The edible portion of nut kernels is, with the major exception of chestnuts, very rich in fat content at between 50 percent and 65 percent. Protein content makes up 15-20 percent and carbohydrate content is between 10 percent and 15 percent. Starch and saccharose are the main components of dry chestnuts, accounting for about 75 percent. FAO covers ten primary nut crops. Each is listed below along with its code, its botanical name, or names, and a short description. NUT PRODUCTS include shelled nuts, whole or split, and further processed products, including roasted nuts, meal/flour, paste, oil, etc. Nut oils are not separately identified in the FAO classification; instead they are included under the heading ""oil of vegetable origin nes"". The most commonly marketed oils are almon oil and cashew nut oil and its derivative cardol.",
00001735,faostat_qcl,Vegetables Primary,Vegetables,"Vegetables, as classified in this group, are mainly annual plants cultivated as field and garden crops in the open and under glass, and used almost exclusively for food. Vegetables grown principally for animal feed or seed should be excluded. Certain plants, normally classified as cereals and pulses, belong to this group when harvested green, such as green maize, green peas, etc. This grouping differs from international trade classifications for vegetables in that it includes melons and watermelons, which are normally considered to be fruit crops. But, whereas fruit crops are virtually all permanent crops, melons and watermelons are similar to vegetables in that they are temporary crops. Chillies and green peppers are included in this grouping when they are harvested for consumption as vegetables and not processed into spices. FAO production data for green peas and green beans refer to the total weight including pods, although some countries report on a shelled weight basis. The weight of the pods ranges from 40 to 50 percent for peas to up to 70 percent for broad beans. Area data on small vegetable gardens are often omitted in agricultural surveys, although production estimates may be reported. Trade data for fresh vegetables also include chilled vegetables, meaning the temperature of the products has been reduced to around 0øC without the products being frozen. Vegetables contain principally water, accounting for between 70 percent and 95 percent of their weight. They are low in nutrients, but contain minerals and vitamins. FAO covers 27 primary vegetable products. Each is listed along with its code, botanical name, or names, and a short description. PRODUCTS DERIVED FROM VEGETABLES refer to processed products. Apart from a few main products, international trade classifications do not permit a sufficiently detailed classification of processed products according to the primary commodity used in the preparation. A similar situation prevails for frozen vegetables.",
00001738,faostat_qcl,Fruit Primary,Fruit,"Fruit Crops consist of fruits and berries that, with few exceptions, are characterized by their sweet taste. Nearly all are permanent crops, mainly from trees, bushes and shrubs, as well as vines and palms. Fruits and berries grow on branches, stalks or the trunks of plants, usually singly, but sometimes grouped in bunches or clusters (e.g. bananas and grapes). Commercial crops are cultivated in plantations, but significant quantities of fruits are also collected from scattered plants that may or may not be cultivated. Although melons and watermelons are generally considered to be fruits, FAO groups them with vegetables because they are temporary crops. Fruit crops are highly perishable. Their shelf life may be extended through the application of chemical substances that inhibit the growth of micro-organisms and through careful control of the surrounding temperature, pressure and humidity once the fruit has been picked. Fruits and berries have a very high water content accounting for some 70- 90 percent of their weight. They contain, in various degrees, minerals, vitamins and organic acids, some of which reside in the peel or skin. Some fruits have a high fibre content and other inedible components, so that wastage is high, e.g. 60 percent for passion fruit and 35-45 percent for pineapples. The waste in temperate zone fruit is lower, generally of the order of 10-15 percent, while berries contain very little waste. The carbohydrate content of fruits varies widely. Protein content is very low, averaging less than 1 percent, or below that in vegetables. Fat content in fruit is negligible, with the notable exception of avocados. Fruit crops are consumed directly as food and are processed into dried fruit, fruit juice, canned fruit, frozen fruit, jam, alcoholic beverages, etc. Fruit crops are not normally grown for animal feed, although significant quantities of diseased and substandard fruits, as well as certain by-products of the fruit processing industry, are fed to animals. Production data for fruit crops should relate to fruits actually harvested. Data on bananas and plantains should relate to the weight of single bananas or banana hands, excluding the weight of the central stalk. FAO lists 36 primary fruit crops.",
00001780,faostat_qcl,"Milk, Total",Milk,"Milk, eggs, honey and beeswax are included as products of live animals. Fibres of animal origin (mainly wool and silk) are included with fibres of vegetal and animal origin. Milk and dairy products. Estimates of milk production as reported by countries refer to one or more of the following three concepts. Gross production is milk production plus milk sucked by young animals. Production available for consumption is net production less milk fed to animals, milk retained by farmers for food and feed, direct sales to consumers and farm waste. The FAO concept relates to net milk production. Data should be reported by kind of milking animal (cow, sheep, goat, etc.) in terms of whole milk and by weight. In most developed countries only 5-10 percent of whole milk is used directly for human consumption. The bulk of milk production is processed before being marketed as liquid milk (e. G. standardized, pasteurized, skimmed, etc.) or is manufactured in to products such as cream, butter, cheese, evaporated and condensed milk, milk powder, casein, yogurt, ice cream, etc. About 70 percent of whole milk is processed into dairy products; the by-products of these processes (e. G. skim milk, buttermilk and whey) are used either for feed or are manufactured into other dairy products, e. G. dry skim milk and low-fat cheese. Processed milk and dairy products are often supplemented with vitamins, mineral and various additives. FAO list 50 milk and dairy product items in the list that follows, of which five are primary products. Some food products containing milk are not listed separately by FAO, e. G. eggnog, sherbet, malted milk, chocolate milk drink and mellorine.",
00001783,faostat_qcl,Eggs Primary,Eggs,"Eggs and Egg products. Egg production by type of poultry should refer to the total production of eggs in the shell by all types of hens in both the traditional sector (individually owned small flocks) and the modern sector (large-scale, intensive commercial poultry farms).Total productions include eggs for hatching but exclude waste of farms. Countries should report in terms of both numbers and weight.FAO lists seven egg and egg products items, including four primary and three processed products.",
