indicator,chart,chart_slug,chart_id,variable_id,variable_name,dataset_id,dataset_name
15.4.1,https://ourworldindata.org/grapher/coverage-by-protected-areas-of-important-sites-for-mountain-biodiversity,coverage-by-protected-areas-of-important-sites-for-mountain-biodiversity,2094,416243,15.4.1 - Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%) - ER_PTD_MTN,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
15.4.2,https://ourworldindata.org/grapher/mountain-green-cover-index,mountain-green-cover-index,2095,416237,15.4.2 - Mountain Green Cover Index - ER_MTN_GRNCVI - All elevations,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
15.5.1,https://ourworldindata.org/grapher/red-list-index,red-list-index,2096,416244,15.5.1 - Red List Index - ER_RSK_LST,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
15.6.1,https://ourworldindata.org/grapher/countries-to-access-and-benefit-sharing-clearing-house,countries-to-access-and-benefit-sharing-clearing-house,2097,416247,"15.6.1 - Countries that have legislative, administrative and policy framework or measures reported to the Access and Benefit-Sharing Clearing-House (1 = YES; 0 = NO) - ER_CBD_ABSCLRHS",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
15.6.1,https://ourworldindata.org/grapher/countries-to-the-international-treaty-on-plant-genetic-resources,countries-to-the-international-treaty-on-plant-genetic-resources,2098,416249,15.6.1 - Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) - ER_CBD_PTYPGRFA,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
15.6.1,https://ourworldindata.org/grapher/countries-that-are-parties-to-the-nagoya-protocol,countries-that-are-parties-to-the-nagoya-protocol,2099,416246,15.6.1 - Countries that are parties to the Nagoya Protocol (1 = YES; 0 = NO) - ER_CBD_NAGOYA,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
15.8.1,https://ourworldindata.org/grapher/budget-to-manage-invasive-alien-species,budget-to-manage-invasive-alien-species,5229,416252,"15.8.1 - Countries with an allocation from the national budget to manage the threat of invasive alien species (1 = YES, 0 = NO) - ER_IAS_NATBUD",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
15.8.1,https://ourworldindata.org/grapher/national-biodiversity-strategy-align-with-aichi-target-9,national-biodiversity-strategy-align-with-aichi-target-9,5228,416251,"15.8.1 - National Biodiversity Strategy and Action Plan (NBSAP) targets alignment to Aichi Biodiversity target 9 set out in the Strategic Plan for Biodiversity 2011-2020 (1 = YES, 0 = NO) - ER_IAS_NBSAP",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
15.9.1,https://ourworldindata.org/grapher/national-progress-towards-aichi-biodiversity-target-2,national-progress-towards-aichi-biodiversity-target-2,5654,417468,15.9.1 - Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (1 = YES; 0 = NO) - ER_BDY_ABT2NP - OMM,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
15.A.1,https://ourworldindata.org/grapher/total-oda-for-biodiversity-by-recipient,total-oda-for-biodiversity-by-recipient,2100,416269,"15.a.1 - Total official development assistance for biodiversity, by recipient countries (millions of constant 2018 United States dollars) - DC_ODA_BDVL",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
15.B.1,https://ourworldindata.org/grapher/total-oda-for-biodiversity-by-recipient,total-oda-for-biodiversity-by-recipient,2100,416269,"15.a.1 - Total official development assistance for biodiversity, by recipient countries (millions of constant 2018 United States dollars) - DC_ODA_BDVL",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
15.A.1,https://ourworldindata.org/grapher/total-oda-for-biodiversity-by-donor,total-oda-for-biodiversity-by-donor,2101,416268,"15.a.1 - Total official development assistance for biodiversity, by donor countries (millions of constant 2018 United States dollars) - DC_ODA_BDVDL",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
15.B.1,https://ourworldindata.org/grapher/total-oda-for-biodiversity-by-donor,total-oda-for-biodiversity-by-donor,2101,416268,"15.a.1 - Total official development assistance for biodiversity, by donor countries (millions of constant 2018 United States dollars) - DC_ODA_BDVDL",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
11.1.1,https://ourworldindata.org/grapher/share-of-urban-population-living-in-slums,share-of-urban-population-living-in-slums,946,147865,Population living in slums (% of urban population),5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
11.4.1,https://ourworldindata.org/grapher/expenditure-on-cultural-and-natural-heritage-per-capita,expenditure-on-cultural-and-natural-heritage-per-capita,5586,416377,"11.4.1 - Total expenditure per capita spent on cultural and natural heritage, public and private (PPP, constant 2017 United States dollars) - GB_XPD_CULNAT_PBPV",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
11.5.1,https://ourworldindata.org/grapher/deaths-and-missing-persons-due-to-natural-disasters,deaths-and-missing-persons-due-to-natural-disasters,5245,416384,"11.5.1 - Number of deaths and missing persons attributed to disasters per 100,000 population (number) - VC_DSR_MTMP",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
13.1.1,https://ourworldindata.org/grapher/deaths-and-missing-persons-due-to-natural-disasters,deaths-and-missing-persons-due-to-natural-disasters,5245,416384,"11.5.1 - Number of deaths and missing persons attributed to disasters per 100,000 population (number) - VC_DSR_MTMP",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
11.5.1,https://ourworldindata.org/grapher/internally-displaced-persons-from-disasters,internally-displaced-persons-from-disasters,1836,148026,"Internally displaced persons, new displacement associated with disasters (number of cases)",5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
13.1.1,https://ourworldindata.org/grapher/internally-displaced-persons-from-disasters,internally-displaced-persons-from-disasters,1836,148026,"Internally displaced persons, new displacement associated with disasters (number of cases)",5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
11.5.1,https://ourworldindata.org/grapher/number-of-people-directly-affected-by-natural-disasters,number-of-people-directly-affected-by-natural-disasters,5241,416386,"11.5.1 - Number of directly affected persons attributed to disasters per 100,000 population (number) - VC_DSR_DAFF",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
13.1.1,https://ourworldindata.org/grapher/number-of-people-directly-affected-by-natural-disasters,number-of-people-directly-affected-by-natural-disasters,5241,416386,"11.5.1 - Number of directly affected persons attributed to disasters per 100,000 population (number) - VC_DSR_DAFF",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
11.5.2,https://ourworldindata.org/grapher/direct-disaster-loss-as-a-share-of-gdp,direct-disaster-loss-as-a-share-of-gdp,2075,416391,11.5.2 - Direct economic loss attributed to disasters relative to GDP (%) - VC_DSR_LSGP,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
11.5.2,https://ourworldindata.org/grapher/global-disaster-losses-gdp-share,global-disaster-losses-gdp-share,3166,98765,Disaster losses as % of global GDP (Munich Re),3093,dataset_3093_economic_losses_from_disasters_as_a_share_of_gdp__pielke__2018
11.5.2,https://ourworldindata.org/grapher/economic-losses-from-disasters-share-gdp,economic-losses-from-disasters-share-gdp,3165,98769,Weather disaster losses as % of global GDP (Munich Re),3093,dataset_3093_economic_losses_from_disasters_as_a_share_of_gdp__pielke__2018
11.5.2,https://ourworldindata.org/grapher/economic-losses-from-disasters-share-gdp,economic-losses-from-disasters-share-gdp,3165,98771,Weather disaster losses as % of global GDP (Aon Benfield),3093,dataset_3093_economic_losses_from_disasters_as_a_share_of_gdp__pielke__2018
11.5.2,https://ourworldindata.org/grapher/economic-losses-from-disasters-share-gdp,economic-losses-from-disasters-share-gdp,3165,98765,Disaster losses as % of global GDP (Munich Re),3093,dataset_3093_economic_losses_from_disasters_as_a_share_of_gdp__pielke__2018
11.5.2,https://ourworldindata.org/grapher/economic-losses-from-disasters-share-gdp,economic-losses-from-disasters-share-gdp,3165,98767,Disaster losses as % of global GDP (Aon Benfield),3093,dataset_3093_economic_losses_from_disasters_as_a_share_of_gdp__pielke__2018
11.6.1,https://ourworldindata.org/grapher/proportion-of-population-served-by-municipal-waste-collection,proportion-of-population-served-by-municipal-waste-collection,2076,416410,"11.6.1 - Municipal Solid Waste collection coverage, by cities (%) - EN_REF_WASCOL - All areas or breakdown by cities not available",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
11.6.2,https://ourworldindata.org/grapher/PM25-air-pollution,PM25-air-pollution,1438,147855,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
11.A.1,https://ourworldindata.org/grapher/urban-policies-population-dynamics,urban-policies-population-dynamics,5206,416640,11.a.1 - Countries that have national urban policies or regional development plans that respond to population dynamics; ensure balanced territorial development; and increase local fiscal space (1 = YES; 0 = NO) - SD_CPA_UPRDP,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
11.B.1,https://ourworldindata.org/grapher/countries-with-legislative-regulatory-provisions-for-managing-disaster-risk,countries-with-legislative-regulatory-provisions-for-managing-disaster-risk,2077,416641,11.b.1 - Score of adoption and implementation of national DRR strategies in line with the Sendai Framework - SG_DSR_LGRGSR,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
13.1.2,https://ourworldindata.org/grapher/countries-with-legislative-regulatory-provisions-for-managing-disaster-risk,countries-with-legislative-regulatory-provisions-for-managing-disaster-risk,2077,416641,11.b.1 - Score of adoption and implementation of national DRR strategies in line with the Sendai Framework - SG_DSR_LGRGSR,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
11.B.2,https://ourworldindata.org/grapher/local-govts-risk-reduction,local-govts-risk-reduction,3852,416644,11.b.2 - Number of local governments (number) - SG_GOV_LOGV,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
13.1.3,https://ourworldindata.org/grapher/local-govts-risk-reduction,local-govts-risk-reduction,3852,416644,11.b.2 - Number of local governments (number) - SG_GOV_LOGV,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
13.3.1,https://ourworldindata.org/grapher/mainstreaming-sustainable-development-into-teacher-education,mainstreaming-sustainable-development-into-teacher-education,5198,415605,4.7.1 - Extent to which global citizenship education and education for sustainable development are mainstreamed in teacher education - SE_GCEDESD_TED,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
12.8.1,https://ourworldindata.org/grapher/mainstreaming-sustainable-development-into-teacher-education,mainstreaming-sustainable-development-into-teacher-education,5198,415605,4.7.1 - Extent to which global citizenship education and education for sustainable development are mainstreamed in teacher education - SE_GCEDESD_TED,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
13.3.1,https://ourworldindata.org/grapher/mainstreaming-sustainable-development-into-curricula,mainstreaming-sustainable-development-into-curricula,5197,415604,4.7.1 - Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula - SE_GCEDESD_CUR,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
12.8.1,https://ourworldindata.org/grapher/mainstreaming-sustainable-development-into-curricula,mainstreaming-sustainable-development-into-curricula,5197,415604,4.7.1 - Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula - SE_GCEDESD_CUR,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
13.3.1,https://ourworldindata.org/grapher/mainstreaming-sustainable-development-into-student-assessment,mainstreaming-sustainable-development-into-student-assessment,5196,415606,4.7.1 - Extent to which global citizenship education and education for sustainable development are mainstreamed in student assessment - SE_GCEDESD_SAS,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
12.8.1,https://ourworldindata.org/grapher/mainstreaming-sustainable-development-into-student-assessment,mainstreaming-sustainable-development-into-student-assessment,5196,415606,4.7.1 - Extent to which global citizenship education and education for sustainable development are mainstreamed in student assessment - SE_GCEDESD_SAS,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
13.3.1,https://ourworldindata.org/grapher/mainstreaming-sustainable-development-into-national-education-policies,mainstreaming-sustainable-development-into-national-education-policies,5195,415603,4.7.1 - Extent to which global citizenship education and education for sustainable development are mainstreamed in national education policies - SE_GCEDESD_NEP,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
12.8.1,https://ourworldindata.org/grapher/mainstreaming-sustainable-development-into-national-education-policies,mainstreaming-sustainable-development-into-national-education-policies,5195,415603,4.7.1 - Extent to which global citizenship education and education for sustainable development are mainstreamed in national education policies - SE_GCEDESD_NEP,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
13.A.1,https://ourworldindata.org/grapher/green-climate-gcf-fund-pledges,green-climate-gcf-fund-pledges,5578,414767,13.a.1 - Total financial support provided (Billions of current United States dollars) - DC_FIN_TOT,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
13.B.1,https://ourworldindata.org/grapher/countries-with-national-adaptation-plans-for-climate-change,countries-with-national-adaptation-plans-for-climate-change,5300,414779,13.b.1 - Number of least developed countries and small island developing States with national adaptation plans (Number) - EN_NAA_PLAN_DV,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
8.10.1,https://ourworldindata.org/grapher/number-of-commercial-bank-branches-per-100000-adults,number-of-commercial-bank-branches-per-100000-adults,1668,147953,"Commercial bank branches (per 100,000 adults)",5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
8.10.1,https://ourworldindata.org/grapher/automated-teller-machines-atms-per-100000-adults,automated-teller-machines-atms-per-100000-adults,1669,147946,"Automated teller machines (ATMs) (per 100,000 adults)",5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
8.10.2,https://ourworldindata.org/grapher/account-at-financial-institution,account-at-financial-institution,1802,147788,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
8.A.1,https://ourworldindata.org/grapher/total-oda-for-aid-for-trade-by-recipient,total-oda-for-aid-for-trade-by-recipient,2055,414715,"8.a.1 - Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2019 United States dollars) - DC_TOF_TRDCML",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
8.A.1,https://ourworldindata.org/grapher/total-oda-for-aid-for-trade-by-donor,total-oda-for-aid-for-trade-by-donor,2056,414712,"8.a.1 - Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2019 United States dollars) - DC_TOF_TRDCMDL",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
8.B.1,https://ourworldindata.org/grapher/national-strategy-for-youth-employment,national-strategy-for-youth-employment,5203,414716,"8.b.1 - Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy - SL_CPA_YEMP",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
7.A.1,https://ourworldindata.org/grapher/international-finance-clean-energy,international-finance-clean-energy,3848,416217,"7.a.1 - International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant United States dollars) - EG_IFF_RANDN - All renewables",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
7.B.1,https://ourworldindata.org/grapher/renewable-electricity-generating-capacity-per-capita,renewable-electricity-generating-capacity-per-capita,5200,416221,7.b.1 - Installed renewable electricity-generating capacity (watts per capita) - EG_EGY_RNEW - All renewables,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
12.A.1,https://ourworldindata.org/grapher/renewable-electricity-generating-capacity-per-capita,renewable-electricity-generating-capacity-per-capita,5200,416221,7.b.1 - Installed renewable electricity-generating capacity (watts per capita) - EG_EGY_RNEW - All renewables,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
5.A.1,https://ourworldindata.org/grapher/land-ownership-men-vs-women,land-ownership-men-vs-women,2415,43367,Men who own land alone (% of men),1047,dataset_1047_world_bank_gender_statistics__gender
5.A.1,https://ourworldindata.org/grapher/land-ownership-men-vs-women,land-ownership-men-vs-women,2415,43442,Women who own land alone (% of women age 15-49),1047,dataset_1047_world_bank_gender_statistics__gender
5.A.1,https://ourworldindata.org/grapher/land-ownership-men-vs-women,land-ownership-men-vs-women,2415,72,Population (historical estimates),70,dataset_70_population__gapminder__hyde__and__un
5.A.1,https://ourworldindata.org/grapher/land-ownership-men-vs-women,land-ownership-men-vs-women,2415,123,Countries Continents,115,dataset_115_countries_continents
5.A.2,https://ourworldindata.org/grapher/gender-rights-to-property,gender-rights-to-property,1678,43334,Married men and married women have equal ownership rights to property (1=yes; 0=no),1047,dataset_1047_world_bank_gender_statistics__gender
5.B.1,https://ourworldindata.org/grapher/proportion-of-individuals-who-own-a-mobile-by-sex,proportion-of-individuals-who-own-a-mobile-by-sex,2047,416982,"5.b.1 - Proportion of individuals who own a mobile telephone, by sex (%) - IT_MOB_OWN - Male",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
5.B.1,https://ourworldindata.org/grapher/proportion-of-individuals-who-own-a-mobile-by-sex,proportion-of-individuals-who-own-a-mobile-by-sex,2047,416981,"5.b.1 - Proportion of individuals who own a mobile telephone, by sex (%) - IT_MOB_OWN - Both sexes",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
5.B.1,https://ourworldindata.org/grapher/proportion-of-individuals-who-own-a-mobile-by-sex,proportion-of-individuals-who-own-a-mobile-by-sex,2047,416983,"5.b.1 - Proportion of individuals who own a mobile telephone, by sex (%) - IT_MOB_OWN - Female",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
5.C.1,https://ourworldindata.org/grapher/systems-track-gender-equality,systems-track-gender-equality,3842,416984,5.c.1 - Proportion of countries with systems to track and make public allocations for gender equality and women's empowerment (%) - SG_GEN_EQPWN,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
17.1.1,https://ourworldindata.org/grapher/total-government-revenue-of-gdp,total-government-revenue-of-gdp,1666,147796,"Revenue, excluding grants (% of GDP)",5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
17.1.2,https://ourworldindata.org/grapher/proportion-of-domestic-budget-funded-by-domestic-taxes-of-gdp,proportion-of-domestic-budget-funded-by-domestic-taxes-of-gdp,1665,147804,Tax revenue (% of GDP),5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
17.2.1,https://ourworldindata.org/grapher/net-oda-as-percentage-of-oecd-donors-gni,net-oda-as-percentage-of-oecd-donors-gni,2111,414269,"17.2.1 - Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor countries (%) - DC_ODA_TOTG",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
17.2.1,https://ourworldindata.org/grapher/net-oda-to-ldcs-as-percentage-of-donors-gni,net-oda-to-ldcs-as-percentage-of-donors-gni,2112,414264,"17.2.1 - Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%) - DC_ODA_LDCG",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
17.3.1,https://ourworldindata.org/grapher/foreign-direct-investment-net-outflows-of-gdp,foreign-direct-investment-net-outflows-of-gdp,2020,147952,"Foreign direct investment, net outflows (% of GDP)",5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
17.4.1,https://ourworldindata.org/grapher/debt-service-of-exports-of-goods-services,debt-service-of-exports-of-goods-services,5579,414275,17.4.1 - Debt service as a proportion of exports of goods and services (%) - DT_TDS_DECT,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
17.5.1,https://ourworldindata.org/grapher/countries-with-a-signed-bilateral-investment-treaty,countries-with-a-signed-bilateral-investment-treaty,5231,414276,17.5.1 - Number of countries with a signed bilateral investment treaty (BIT) (Number) - SG_CPA_SIGN_BIT,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
17.5.1,https://ourworldindata.org/grapher/countries-with-an-inforce-bilateral-investment-treaty,countries-with-an-inforce-bilateral-investment-treaty,5232,414277,17.5.1 - Number of countries with an inforce bilateral investment treaty (BIT) (Number) - SG_CPA_INFORCE_BIT,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
17.8.1,https://ourworldindata.org/grapher/share-of-individuals-using-the-internet,share-of-individuals-using-the-internet,755,147903,Individuals using the Internet (% of population),5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
9.C.1,https://ourworldindata.org/grapher/share-of-individuals-using-the-internet,share-of-individuals-using-the-internet,755,147903,Individuals using the Internet (% of population),5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
17.9.1,https://ourworldindata.org/grapher/net-official-development-assistance-and-aid-received,net-official-development-assistance-and-aid-received,2015,147778,Net official development assistance and official aid received (constant 2018 US$),5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
17.10.1,https://ourworldindata.org/grapher/tariff-rate-applied-weighted-mean-all-products,tariff-rate-applied-weighted-mean-all-products,2022,147974,"Tariff rate, applied, weighted mean, all products (%)",5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
17.11.1,https://ourworldindata.org/grapher/exports-of-goods-and-services-income,exports-of-goods-and-services-income,2023,147934,Exports of goods and services (constant 2010 US$),5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
17.12.1,https://ourworldindata.org/grapher/tariff-rates,tariff-rates,2024,147974,"Tariff rate, applied, weighted mean, all products (%)",5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
17.12.1,https://ourworldindata.org/grapher/tariff-rates,tariff-rates,2024,147977,"Tariff rate, applied, weighted mean, primary products (%)",5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
17.12.1,https://ourworldindata.org/grapher/tariff-rates,tariff-rates,2024,147975,"Tariff rate, applied, weighted mean, manufactured products (%)",5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
17.13.1,https://ourworldindata.org/grapher/annual-inflation-of-consumer-prices,annual-inflation-of-consumer-prices,5384,414231,"17.13.1 - Annual inflation, consumer prices (%) - FP_CPI_TOTL_ZG",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
17.13.1,https://ourworldindata.org/grapher/gross-public-sector-debt-as-a-proportion-of-gdp,gross-public-sector-debt-as-a-proportion-of-gdp,5385,414236,"17.13.1 - Gross public sector debt, Central Government, as a proportion of GDP (%) - DP_DOD_DLD2_CR_CG_Z1",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
17.13.1,https://ourworldindata.org/grapher/merchandise-trade-as-a-proportion-of-gdp,merchandise-trade-as-a-proportion-of-gdp,5392,414232,17.13.1 - Merchandise trade as a proportion of GDP (%) - TG_VAL_TOTL_GD_ZS,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
17.14.1,https://ourworldindata.org/grapher/mechanisms-to-enhance-policy-for-sustainable-development,mechanisms-to-enhance-policy-for-sustainable-development,5233,414237,17.14.1 - Mechanisms in place to enhance policy coherence for sustainable development (%) - SG_CPA_SDEVP,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
17.15.1,https://ourworldindata.org/grapher/use-of-crf-tools-by-providers-of-dev-cooperation,use-of-crf-tools-by-providers-of-dev-cooperation,2113,414242,17.15.1 - Proportion of results indicators drawn from country-led results frameworks - data by provider (%) - SG_PLN_PRVRICTRY,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
17.15.1,https://ourworldindata.org/grapher/use-of-crf-tools-by-providers-of-dev-cooperation,use-of-crf-tools-by-providers-of-dev-cooperation,2113,414239,17.15.1 - Proportion of results indicators which will be monitored using government sources and monitoring systems - data by recipient (%) - SG_PLN_RECRIMON,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
17.15.1,https://ourworldindata.org/grapher/use-of-crf-tools-by-providers-of-dev-cooperation,use-of-crf-tools-by-providers-of-dev-cooperation,2113,414238,17.15.1 - Proportion of results indicators which will be monitored using government sources and monitoring systems - data by provider (%) - SG_PLN_PRVRIMON,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
17.15.1,https://ourworldindata.org/grapher/use-of-crf-tools-by-providers-of-dev-cooperation,use-of-crf-tools-by-providers-of-dev-cooperation,2113,414243,17.15.1 - Proportion of results indicators drawn from country-led results frameworks - data by recipient (%) - SG_PLN_RECRICTRY,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
17.15.1,https://ourworldindata.org/grapher/use-of-crf-tools-by-providers-of-dev-cooperation,use-of-crf-tools-by-providers-of-dev-cooperation,2113,414245,17.15.1 - Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by provider (%)  - SG_PLN_PRPOLRES,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
